Schwefel’s function,13969.5,13437.7,12949.7,13412.1,11535,13105,11775.2,12463.8,13697.9,13019.3,12519.3,12456.1,12420.5,12661.7,12025.2,13393.9,12614.5,11957.2,12611.2,12708.9,12893.6,12931,12334.8,11913.8,12890.4,13173.7,12802.7,12828.7,13258.7,12581.2
1st De Jong’s function,77452.7,63074.2,82905.1,104269,85251.7,90074,137735,90966.6,110488,86294.2,81510.9,91057.1,92279.4,124936,105616,92499.3,96356.5,108107,95088.9,90388.6,81644,88874.5,103263,91359.7,93076.1,88919.7,75508.7,113800,109968,114016
Rosenbrock,6.78203e+10,4.61965e+10,5.19755e+10,3.51029e+10,5.37692e+10,4.66561e+10,6.70491e+10,6.72413e+10,4.28344e+10,6.49128e+10,3.43698e+10,7.91469e+10,4.09512e+10,6.52251e+10,5.31975e+10,8.36311e+10,6.82835e+10,7.13555e+10,6.06851e+10,3.85837e+10,6.24855e+10,7.31479e+10,4.52851e+10,7.11742e+10,7.99036e+10,4.20493e+10,5.8184e+10,6.54887e+10,4.02368e+10,5.36509e+10
Rastrigin,2.81614e+06,1.9989e+06,2.67432e+06,3.49405e+06,2.11572e+06,2.49505e+06,3.01662e+06,3.25304e+06,2.76396e+06,2.79136e+06,2.38743e+06,2.85014e+06,2.23414e+06,2.68917e+06,3.18436e+06,3.5628e+06,3.56644e+06,3.33057e+06,2.3457e+06,2.61135e+06,2.73587e+06,2.85908e+06,2.25157e+06,2.66715e+06,2.15047e+06,2.71778e+06,2.24608e+06,2.69305e+06,3.02278e+06,2.93613e+06
Griewangk,755.749,475.312,788.776,608.477,559.951,617.12,614.369,476.505,593.811,354.853,589.963,549.006,642.193,688.728,555.413,787.847,610.888,647.02,883.647,715.681,570.755,697.105,525.004,643.626,709.533,620.322,679.21,666.313,494.628,785.331
Sine Envelope Sine Wave,-24.5237,-21.4818,-20.2503,-19.1142,-21.3476,-22.8065,-19.7011,-22.8229,-23.1596,-18.9251,-22.1952,-21.7604,-21.9628,-24.7445,-19.583,-20.7053,-23.6427,-20.3371,-23.2536,-19.0288,-22.7178,-19.5769,-20.4192,-20.1022,-20.2758,-20.3754,-21.8067,-20.7568,-21.8585,-20.3592
Stretched V Sine Wave,107.679,113.303,98.0809,93.3968,97.8174,104.352,80.6302,88.6228,92.749,95.603,91.8996,100.518,74.6834,105.185,86.2797,94.1015,95.1958,96.1244,92.4059,86.6954,101.035,93.139,119.876,84.1404,100.996,117.919,84.784,117.446,105.847,118.169
Ackley’s One,526.385,516.995,445.197,661.64,621.105,602.832,578.556,596.24,623.352,492.097,566.35,614.311,568.58,591.478,616.946,584.306,652.982,545.729,579.765,568.6,620.738,707.615,517.852,571.36,509.484,441.622,582.863,603.654,648.931,625.246
Ackley’s Two,587.012,556.129,577.93,541.771,573.936,586.823,587.7,612.369,558.987,609.938,578.495,565.321,564.21,603.887,594.104,586.513,563.156,559.696,567.039,589.94,594.177,586.47,559.825,594.98,597.231,571.406,573.079,593.743,590.433,584.59
Egg Holder,2347.95,-1085.23,153.991,-436.857,-3665.44,1269.91,-1502.48,-1045.21,-3461.97,652.084,1713.57,-650.928,-244.5,-945.626,823.379,-672.96,1591.76,-1927.32,-171.577,495.488,-2218.05,609.65,1780.05,738.385,2490.35,-394.007,-961.707,-244.401,2275.69,-236.457
Rana,600.098,-1476.43,455.468,120.031,53.2279,258.832,400.882,243.94,-553.533,-1219.09,-213.822,2203.28,1276.78,838.183,890.611,-346.332,920.912,-930.8,260.693,-2487.85,-315.473,-117.848,-733.384,561.122,-9.33709,-924.759,-444.939,61.4493,957.451,-221.111
Pathological,14.5281,15.1266,14.381,14.4361,14.123,14.3031,14.513,14.1278,14.6652,14.9507,14.2335,14.8516,14.5189,14.9751,14.5922,14.4419,14.8561,13.7732,14.6337,15.2286,14.3087,14.2912,14.7592,14.381,14.2534,14.5042,14.5729,14.3594,14.2377,14.4007
Michalewicz,-2.07369,-5.85699,-4.68249,-2.35015,-3.2763,-2.2771,-5.27559,-3.05986,-2.45738,-4.54432,-6.8878,-5.42241,-3.10034,-1.09162,-4.1298,-1.20048,-1.35293,-3.36403,-3.87736,-2.78206,-5.88937,-3.99896,-2.49505,-2.1921,-4.63726,-1.85207,-6.00653,-3.15901,-5.14896,-2.20635
Masters Cosine Wave,0.00220537,0.077785,-0.0618929,0.0192342,3.34716e-05,0.0270809,0.0833564,0.849489,0.0197344,-0.00441914,3.22279e-13,4.83847e-05,0.0305611,0.0174869,0.0791847,0.0163019,0.105644,2.34876e-06,0.300237,-0.0113854,-0.0513258,-0.379478,0.166219,-2.43332e-07,-0.294283,0.0174513,-0.202965,-1.34323e-05,-0.0349405,0.0143205
Quartic,9.02063e+09,9.91794e+09,1.4106e+10,7.67298e+09,1.05196e+10,8.55153e+09,1.24887e+10,7.62837e+09,6.55696e+09,9.98063e+09,6.28775e+09,9.42046e+09,1.09871e+10,1.32553e+10,5.30719e+09,6.03627e+09,1.08525e+10,1.19243e+10,5.37332e+09,8.20275e+09,7.79299e+09,7.63408e+09,1.04271e+10,1.34084e+10,7.28103e+09,9.80669e+09,1.18684e+10,8.7235e+09,7.86538e+09,7.77887e+09
Levy,342.525,338.04,591.446,278.034,318.288,449.618,595.3,306.998,595.615,599.46,642.911,486.083,385.458,368.464,744.36,383.978,517.147,479.425,396.12,678.738,388.552,906.947,660.409,507.697,454.678,286.246,551.783,285.766,804.419,373.832
Step,126252,85231,60656.2,94932.1,122187,91147.4,114586,72241.9,118530,95539.1,116734,118044,110712,85782.4,111319,67057.2,66210,84065.7,83112.6,122748,102038,94980,97905,105170,98345.9,120686,96985.9,78815.2,101598,87353.6
Alpine,929.532,538.733,859.947,977.295,741.935,1128.75,855.51,1071.84,1252.24,1005.95,905.472,942.709,721.658,1020.03,1035.81,945.852,856.445,1002.1,1053.08,1088.55,940.118,1021.41,846.996,744.216,943.47,878.539,685.85,901.426,987.231,1030.07
