Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,8417.340429,2101.256420,10107.728362,8144.586020,0.018633
1st De Jong’s function,-100.000000,100.000000,367310.050605,79372.474913,391347.993376,371085.269508,0.000463
Rosenbrock,-100.000000,100.000000,2108169489274.263916,1163167158680.697998,4281049775715.619141,1769531028278.979492,0.000876
Rastrigin,-30.000000,30.000000,7597330.127728,2349337.596294,8730535.184909,7040333.431016,0.016280
Griewangk,-500.000000,500.000000,2551.050911,873.187464,3444.395757,2294.025399,0.018023
Sine Envelope Sine Wave,-30.000000,30.000000,-10.924665,0.657147,3.138090,-10.825795,0.015242
Stretched V Sine Wave,-30.000000,30.000000,84.326801,12.734086,50.323011,85.839263,0.078061
Ackley’s One,-32.000000,32.000000,879.778005,157.778813,647.825003,898.160576,0.027001
Ackley’s Two,-32.000000,32.000000,400.441648,10.320736,52.887301,403.742199,0.079438
Egg Holder,-500.000000,500.000000,126.371217,3259.450742,16504.086834,-80.023012,0.030567
Rana,-500.000000,500.000000,-213.413366,1888.969076,7955.086957,242.797064,0.062088
Pathological,-100.000000,100.000000,9.482922,0.192955,0.976014,9.499090,0.016544
Michalewicz,0.000000,3.141593,0.225494,1.035186,4.829288,0.356909,0.075284
Masters Cosine Wave,-30.000000,30.000000,0.000866,0.004560,0.025888,0.000000,0.044575
Quartic,-100.000000,100.000000,244773436555.069946,146387589468.294250,669410389330.660767,241937647883.740875,0.000716
Levy,-10.000000,100.000000,96817.238533,52087.070063,212936.038737,82238.263921,0.016697
Step,-100.000000,100.000000,382604.606699,84316.997065,399749.058771,387542.819586,0.000473
Alpine,-100.000000,100.000000,1459.133389,328.302206,1345.773690,1394.695481,0.015480
