Function,Vector Min,Vector Max,Average,Standard Deviation,Range,Median,Total Time (ms)
Schwefel’s function,-512.000000,512.000000,12744.745099,557.587722,2434.450496,12755.815134,0.030224
1st De Jong’s function,-100.000000,100.000000,95559.354252,15165.247358,74660.367723,91819.542816,0.000827
Rosenbrock,-100.000000,100.000000,57686447780.422432,13894094177.363008,49261280482.981010,59434524675.209702,0.001630
Rastrigin,-30.000000,30.000000,2748708.236230,422776.347551,1567541.867591,2726823.416160,0.022041
Griewangk,-500.000000,500.000000,630.237819,109.196156,528.794196,618.721115,0.030297
Sine Envelope Sine Wave,-30.000000,30.000000,-21.319824,1.585255,5.819412,-21.052192,0.021841
Stretched V Sine Wave,-30.000000,30.000000,97.955771,11.408471,45.192664,95.863705,0.078221
Ackley’s One,-32.000000,32.000000,579.427022,59.655619,265.993172,583.584492,0.025827
Ackley’s Two,-32.000000,32.000000,580.362986,16.795345,70.598069,585.529736,0.069648
Egg Holder,-500.000000,500.000000,-97.415946,1538.165987,6155.799309,-240.428909,0.037825
Rana,-500.000000,500.000000,3.608425,893.507163,4691.130448,57.338611,0.046993
Pathological,-100.000000,100.000000,14.510932,0.312024,1.455439,14.473082,0.025205
Michalewicz,0.000000,3.141593,-3.554945,1.558547,5.796187,-3.217656,0.074330
Masters Cosine Wave,-30.000000,30.000000,0.026189,0.194285,1.228967,0.008263,0.042195
Quartic,-100.000000,100.000000,9222556482.880060,2366045547.193726,8798816007.466141,8872062249.325401,0.001765
Levy,-10.000000,10.000000,490.611164,161.589632,628.912908,467.051619,0.020115
Step,-100.000000,100.000000,97698.864900,17967.425634,65595.287160,97445.427520,0.000969
Alpine,-100.000000,100.000000,930.425603,142.758198,713.505503,943.089412,0.028634
