Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
9404.4186,17067.153,1.0204722e+09,621453.75,133.23884,-28.710533,59.676579,209.17237,442.41288,-4895.4623,-3334.7591,13.221073,-8.7655924,-1.8449821,2.914455e+08,66.942293,21047.545,304.64285
9404.4186,9580.8181,2.3950554e+08,298619.57,74.253355,-29.751383,58.602176,160.15235,402.59867,-4895.4623,-3334.7591,12.718076,-9.1074188,-2.86574,85882187,32.540342,11311.328,253.42594
9148.0705,7150.3749,1.5890378e+08,177750.01,48.00117,-31.333295,56.94487,115.69557,383.67499,-5399.3955,-3334.7591,12.694256,-10.240465,-2.86574,44260535,23.904279,7883.0884,212.13719
8834.1711,5462.3736,1.0304406e+08,134961.93,39.25842,-31.333295,54.136004,93.988042,376.82466,-6251.6253,-3334.7591,12.694256,-10.359985,-2.86574,36210381,23.904279,6121.2988,212.13719
8834.1711,4960.1843,1.0262467e+08,106961.6,33.064258,-31.333295,54.136004,93.988042,359.33764,-6251.6253,-3334.7591,12.536051,-10.359985,-2.86574,21223537,23.409011,4377.7659,191.43455
8834.1711,4585.8902,97881360,106961.6,30.355609,-31.333295,54.136004,93.988042,359.33764,-6251.6253,-3334.7591,12.536051,-10.359985,-2.86574,21223537,19.675847,4249.4748,191.43455
8834.1711,3535.9931,70393952,106961.6,27.0805,-31.333295,54.136004,93.988042,359.33764,-6251.6253,-3334.7591,12.536051,-12.317235,-2.86574,19067983,19.675847,4249.4748,191.43455
8826.9461,3425.5161,70393952,94936.732,25.052175,-31.415387,54.136004,93.988042,359.33764,-6251.6253,-3334.7591,12.536051,-12.317235,-2.86574,8160211.8,19.675847,3985.632,188.88593
8826.9461,2695.1445,70393952,94936.732,25.052175,-31.415387,54.136004,93.988042,359.05014,-6251.6253,-3334.7591,12.536051,-12.317235,-2.86574,8160211.8,19.675847,3869.9464,186.15248
8241.3328,2695.1445,70393952,94936.732,25.052175,-31.415387,54.136004,93.988042,359.05014,-6251.6253,-3334.7591,12.536051,-12.317235,-2.86574,8160211.8,19.675847,3869.9464,163.31557
8241.3328,2695.1445,70393952,94936.732,25.052175,-31.725981,54.136004,93.988042,359.05014,-6373.7614,-4413.9118,12.536051,-12.317235,-2.86574,8160211.8,19.675847,3869.9464,145.27468
8241.3328,2695.1445,70393952,94936.732,24.628358,-31.725981,54.136004,93.988042,359.05014,-6373.7614,-4413.9118,12.536051,-12.317235,-2.86574,8160211.8,19.675847,3869.9464,145.27468
8241.3328,2695.1445,70393952,94936.732,19.859073,-31.725981,54.136004,93.988042,359.05014,-6734.3056,-4413.9118,12.150791,-12.492832,-3.7397803,8160211.8,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,94936.732,17.722002,-31.725981,54.136004,93.988042,359.05014,-6871.0107,-4413.9118,12.150791,-12.492832,-3.7397803,8160211.8,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,94936.732,16.088869,-31.773603,54.136004,93.988042,359.05014,-7617.707,-4413.9118,12.150791,-12.492832,-3.7397803,8160211.8,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,94936.732,16.088869,-31.773603,54.136004,93.988042,357.6131,-7617.707,-4413.9118,12.150791,-12.492832,-3.7397803,7268107.5,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,94936.732,13.771181,-31.773603,54.136004,93.988042,357.43215,-7617.707,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,94936.732,13.771181,-31.773603,54.136004,93.988042,357.43215,-7617.707,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.675847,2506.7105,145.27468
8241.3328,2695.1445,53807786,83189.086,13.771181,-31.773603,54.136004,93.988042,357.43215,-7617.707,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.675847,2506.7105,144.26192
8241.3328,2695.1445,53807786,83189.086,13.771181,-31.773603,54.136004,93.988042,357.43215,-8143.2531,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.185675,2506.7105,144.26192
8241.3328,2695.1445,53807786,83189.086,13.771181,-31.773603,54.136004,93.988042,357.43215,-8143.2531,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.185675,2506.7105,144.26192
8241.3328,2695.1445,53807786,83189.086,13.771181,-31.773603,54.136004,93.988042,357.43215,-8143.2531,-4413.9118,11.939973,-12.492832,-3.7397803,7268107.5,19.185675,2506.7105,144.26192
