Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
15197.432,52408.559,2.6159277e+10,1513541.6,380.01555,-19.494377,115.00128,449.30397,551.7306,4203.3516,3095.7291,16.071178,-1.7118888,2.5548314,2.7913962e+09,276.80533,48969.77,1029.271
12677.392,32846.079,9.4281246e+09,922269.7,214.9943,-20.865697,114.46861,373.75394,517.45248,2517.9031,2717.3551,16.72459,-1.8287934,1.8728307,1.1243629e+09,182.61228,29532.62,903.96928
12035.291,28469.163,7.6528887e+09,794215.02,191.04501,-21.255849,118.96081,387.48098,496.4511,1001.7939,4066.6456,16.359245,-1.7682312,2.3885335,8.4163973e+08,148.09804,25278.495,916.44447
11376.539,24466.183,5.8224288e+09,761689.17,173.16117,-20.871543,110.69321,378.2118,498.99926,856.86959,2622.5674,16.566477,-2.2322537,2.610677,6.17427e+08,143.16474,21950.933,962.59057
10649.972,21232.603,4.232172e+09,676665.42,145.03054,-20.235576,112.88484,370.89846,486.20181,121.51655,2854.1315,16.388175,-1.6781402,1.896005,3.7291968e+08,146.90708,19283.025,934.01988
11079.965,19270.106,3.1368971e+09,531652.94,119.35322,-20.514104,111.4248,374.1619,487.56191,-660.47992,3356.1893,16.69181,-2.2304844,2.3468821,2.6067789e+08,131.56025,15389.652,912.18128
10213.433,15606.518,2.2864513e+09,451939.21,108.80698,-20.675847,110.25421,351.85729,475.16506,-1096.8355,3189.1098,16.833164,-1.475619,1.819641,1.8329729e+08,157.33829,13615.232,920.16608
10460.77,12524.589,1.7058392e+09,372319.73,92.448305,-20.642057,114.80577,349.96094,480.51795,-742.46633,2969.4316,16.447611,-2.0006859,2.1364227,1.3426423e+08,141.25529,11329.444,921.69319
10514.49,11404.844,1.1729854e+09,321377,72.256281,-20.604628,110.48971,327.18661,460.8036,-174.79382,3128.5812,16.397629,-1.8103218,2.2501662,86787024,144.82383,9760.9265,960.33821
10927.533,10013.267,8.1031763e+08,276170.69,63.771183,-20.32149,111.21407,325.65237,455.25506,-962.28247,3581.6583,16.724689,-1.3307536,2.0248892,66427825,143.37012,7487.8895,900.67993
10196.15,8136.5052,7.004986e+08,259695.6,47.818226,-20.542557,109.60397,309.93807,436.3891,-1452.9594,3704.5074,17.176995,-2.384922,2.5608379,48709540,157.10928,6280.8718,879.58872
10362.808,6701.072,5.0766556e+08,244018.17,42.756196,-19.621429,110.42908,302.69383,427.13748,-798.08117,3070.4953,16.589433,-2.3385353,2.1071352,47752163,149.88067,4809.3853,934.02763
10293.034,5599.8271,3.5175474e+08,231068.01,38.428507,-19.140298,113.60127,294.22907,425.38844,-1761.8239,2646.9284,16.648096,-2.2778688,2.0216587,30397630,156.12425,4719.8028,962.95187
10484.227,5107.1189,2.2680843e+08,189062.28,30.127065,-21.158916,112.41916,277.11733,425.70448,-1827.6098,3755.3256,16.213839,-1.6948764,2.7212114,26134253,145.0805,4133.5195,953.72327
10213.845,3862.5904,1.5056409e+08,145742,23.933079,-20.480137,109.901,285.1205,409.56674,-1718.1063,3113.2405,16.767234,-1.8653651,1.8899029,17269503,150.56453,3457.7784,940.75886
10448.343,3436.5328,90344087,137822.12,21.873567,-20.447294,110.07791,263.23478,421.7873,-2303.1867,2853.2918,16.359457,-1.8765019,2.0627263,10968295,143.79836,3161.1629,926.27715
10011.163,3257.0331,83521970,142618.86,21.769044,-20.354963,113.81797,253.5448,425.18575,-3096.4412,3244.5493,16.570628,-2.0086269,2.4992571,8937615.5,144.03262,3191.0627,936.71767
9738.1153,3067.4056,69696177,144130.79,20.961917,-20.146781,115.69902,257.887,417.69168,-2633.718,2547.5755,16.086035,-1.576117,2.1215882,10058057,147.59256,3097.7916,901.23976
10346.135,3015.4157,53853729,114326.68,17.767218,-20.745454,114.82367,261.51993,408.36838,-1549.9571,3398.3519,16.475639,-1.5810627,2.6645823,11103922,136.15844,2671.3486,949.09543
10910.953,2986.6009,59389475,124192.85,18.068133,-20.349834,114.39984,253.59295,413.29773,-2642.6696,2521.2571,16.636978,-2.2172799,2.176888,9792021.1,141.21465,3029.1925,909.39043
10170.577,2911.5262,62239340,122125.95,18.459247,-20.965445,113.58394,238.51594,419.17834,-2631.081,3033.8575,16.492406,-1.8138826,1.9946378,8171546.8,156.71625,2604.3507,907.36863
10593.725,2827.7802,56074291,122014.94,17.414815,-20.922293,109.61251,215.59527,423.77189,-2680.8516,3067.9166,16.559369,-1.8172427,2.541961,10849213,116.17917,3007.8749,955.7827
10539.647,2919.6085,57421255,122123.65,18.232113,-21.134246,111.93826,200.30711,429.07667,-2755.4629,2961.0755,16.509562,-1.6932837,2.193036,11416197,122.39293,2882.0492,936.52928
10331.133,2906.7025,66067832,120930.07,17.560874,-20.403981,114.705,199.12972,419.14679,-2449.1745,3379.539,16.021682,-2.1109681,2.5998661,9063002.6,134.47981,3012.1966,953.49427
10675.834,3230.5005,52183625,133158.47,17.295842,-21.411189,112.59461,199.50929,419.41302,-3236.3248,3274.2479,17.063958,-1.3061308,2.6216474,12413459,129.42576,3012.7717,871.51536
10736.828,2963.7042,69899185,126761.82,18.375849,-20.402496,111.5128,184.28319,428.70862,-2040.3578,3968.5773,16.467639,-1.7371748,2.0752078,8302648.2,122.70904,2753.1606,898.85211
10139.067,2837.9488,54497210,144740.64,17.510283,-20.549282,113.81251,165.53979,407.6492,-2635.4949,3576.8197,16.385735,-1.8177103,2.1946983,9031318.8,125.72034,2798.8052,941.19647
10169.758,2879.8583,54423769,129126.83,18.172229,-21.217346,115.21683,172.21914,409.77642,-2756.804,2784.9085,16.487588,-1.3845425,2.3203689,8421056.9,117.95173,2772.5216,919.91598
10522.761,3239.9742,59283693,123031.11,16.9819,-20.805734,118.00026,169.61523,417.55465,-2563.1518,2932.4211,16.484353,-1.8862484,2.1969649,9080153,136.9687,2854.4452,890.09556
10114.931,3091.6605,47142923,132987.77,20.514811,-20.68821,113.28569,178.91901,409.90619,-2454.7616,2872.29,16.204819,-1.6703104,2.1198923,9041143.2,119.45751,2811.4011,961.82939
10455.289,2747.1013,46392331,138220.78,17.853848,-19.440625,115.4695,172.99503,421.76358,-2063.7552,3051.4214,16.61588,-1.4266749,2.3726383,7566351.8,128.46144,2864.3959,942.23296
9809.0395,2875.7834,50875361,127388.54,19.122507,-20.709601,111.59252,158.47114,413.74838,-2213.7899,2943.6199,16.152227,-0.98737456,2.1969012,6785163.7,139.81378,2763.7654,936.01467
10588.41,2913.4151,50247891,135952.22,15.799283,-20.973687,113.45042,165.57154,409.03159,-1572.7257,2731.7987,16.27574,-2.0195829,2.1370895,7162819.2,136.6427,3286.5498,967.03139
10326.24,2454.2344,49514618,124379.91,17.061896,-20.784427,112.35646,156.99528,407.29238,-2122.4378,3791.27,16.620973,-1.2524018,2.8901084,7593456.1,127.77311,2689.0223,985.30257
11073.57,2772.3547,47542522,126004.04,16.138186,-21.302468,114.58008,168.47008,412.8217,-1624.965,3151.0443,16.679024,-1.5319676,2.0288021,7973553.2,131.06661,2868.4977,902.11816
10175.059,3071.1916,62074444,129280.83,16.861594,-21.066744,111.22476,164.19658,414.27726,-1475.325,2631.2673,16.245792,-1.33389,2.5248688,8170797.2,133.88951,2757.7712,927.15504
10336.614,2791.7954,55866158,131697.58,16.097761,-20.16357,113.19982,161.23263,404.31995,-2508.4332,2805.5323,16.790154,-1.8921223,1.9823928,7003506.3,122.16059,3122.3865,921.85289
10581.353,2577.2217,49281809,125551.23,15.728844,-20.544841,118.24891,162.57711,411.18882,-2653.2904,3491.7161,16.397357,-1.5330062,1.8847138,7782713.8,122.39021,2713.6446,911.53066
10144.688,2921.132,51629737,141702.09,15.770315,-20.627041,117.73435,148.76988,409.24322,-1864.3995,2385.8352,16.666201,-1.7857219,2.0324537,7654191.4,132.3054,2607.2558,944.94045
10070.523,2722.004,54145295,117230.97,16.107295,-21.00123,111.54442,145.71963,413.82594,-2059.0301,3395.5044,16.47922,-1.2185828,1.9624959,7537333.1,131.73366,2781.6403,986.87366
10248.289,2463.8697,54116529,127278.85,16.88254,-21.032469,116.49663,148.15342,406.35746,-2928.8529,3342.3997,16.698315,-1.856717,2.4679977,9393789.8,129.80911,2809.4769,898.60044
10349.525,2708.9152,51878966,132602.76,16.85992,-20.01268,113.92368,154.21109,413.03193,-2437.7027,2772.2535,16.377865,-2.1943712,2.1617881,6971366.3,124.12766,2698.6454,941.25543
10094.297,2782.7993,50282200,125496.86,16.2198,-21.025791,114.6348,172.37119,407.63013,-2813.7383,3397.8134,16.934808,-2.0567971,2.7474632,7107557.3,126.70097,2689.559,944.23599
10102.653,2629.4619,62455052,133348.56,17.090837,-21.281496,116.5136,145.0352,408.19248,-3489.2531,3406.6684,16.670779,-1.8099169,2.6732715,8211359,140.52303,3048.4169,925.20098
10429.581,2638.164,46977039,126234.86,16.879665,-20.44306,114.82474,141.45255,414.51868,-3055.1368,2911.0383,16.395501,-2.170503,2.7320644,7084063,130.03255,2796.3188,939.76634
10382.596,2708.8026,49143433,129101.71,17.761948,-21.250602,115.90631,155.15699,408.65044,-1973.8527,3190.4991,16.587598,-2.0156757,2.2154115,7976622,135.22337,2937.4449,948.71333
10314.597,2876.4444,50265521,140160.21,16.291861,-20.808091,117.48528,134.55301,412.22302,-2935.6606,3567.427,16.633495,-1.767559,2.0085296,6985811.3,119.07934,2814.481,933.84797
10094.459,2824.9743,52422416,116386.94,17.36342,-19.58666,117.02985,134.72075,406.68229,-2923.168,3015.0628,16.571439,-1.8954826,2.2386997,7806906.5,120.66147,2726.6481,914.46843
10653.54,2874.7895,50393982,135630.35,15.860868,-21.192111,121.39029,147.63935,416.09046,-2487.598,3407.2426,16.100339,-1.614978,1.7630904,9409284.1,136.01327,2747.6164,992.04234
10721.118,2810.0778,56148720,118807.57,15.634514,-20.558976,117.74759,144.81566,408.33874,-2494.2052,3757.9177,16.215725,-1.6566249,2.1020934,7677926.3,123.3237,2752.9795,978.39022
10087.422,2889.0071,66674985,116029.26,16.255829,-20.242568,116.41986,130.77169,407.17074,-3003.36,4032.0471,16.405301,-1.9833595,2.3150531,7829483,122.68357,2591.9954,950.54796
10559.958,2651.4501,51338876,127854.09,17.064556,-21.064533,114.26157,154.60358,406.25582,-1773.5577,3200.7041,16.584766,-1.0654817,2.0621305,7607970.3,144.35124,2607.9558,989.05264
10428.001,2659.4477,49770839,102465.58,17.961563,-20.863163,115.13499,139.17445,408.50707,-1320.7909,3893.8909,16.529913,-2.1796934,1.8571747,8775110.3,119.98379,2869.213,929.57542
10192.824,2878.6695,47391059,113176.7,16.843943,-21.538128,119.50917,147.74408,408.42846,-2685.698,2895.3903,16.872005,-1.6073203,1.9796063,8766595,129.30114,2670.1301,958.02334
10559.072,2656.0621,51798174,115406.47,16.47588,-20.863135,115.89683,140.24973,400.00009,-1114.4737,3428.2276,16.464489,-1.3652788,1.9675397,8099197.8,126.99422,2780.476,991.35057
10746.351,2862.9933,39702624,108279.6,15.848593,-19.400422,119.72912,138.81892,406.46253,-2875.8024,4241.0844,16.591173,-1.841668,2.3140428,7961164.3,120.70087,2686.6442,946.37296
10544.193,2511.3787,55901816,111129.38,15.298522,-21.147733,114.84429,144.80758,407.17731,-2048.9524,3783.6641,16.586151,-1.0839864,2.6402272,7199804.9,115.52041,2808.4996,973.36557
