Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
15438.324,143980.18,9.7575993e+10,3895808.4,895.35827,-17.907379,126.22925,721.98487,614.97242,4256.6338,3083.7554,15.777837,-0.45642615,0.92017402,1.7701718e+10,895.76019,149068.54,1341.3422
15129.98,138967.44,9.5316407e+10,3893740.2,891.2566,-18.032582,125.18107,713.78619,614.54606,3829.997,2775.4166,15.745298,-0.48046055,0.90266728,1.7566649e+10,822.12315,144326.62,1302.9791
15079.757,137668.74,9.3877568e+10,3834868.3,888.63921,-18.372071,122.13968,711.6277,614.13054,3773.7298,2585.3736,15.745298,-0.62745641,0.90072966,1.729692e+10,801.56197,143956.76,1290.2077
15079.728,137592.39,9.3810011e+10,3822973.5,887.40724,-18.423124,120.92261,709.40433,613.74322,3621.1558,2511.9929,15.740501,-0.62745641,0.79278705,1.7004413e+10,792.451,143490.17,1290.0931
15051.275,137291.9,9.269596e+10,3791078.7,884.30629,-18.543935,120.7775,703.62793,612.91422,3603.0231,2339.4995,15.610245,-0.6587218,0.79034032,1.6642551e+10,767.46107,143346.77,1276.0588
14918.239,137228.92,9.1722564e+10,3787560.4,876.38586,-18.580865,120.12019,702.99721,612.65381,3532.9542,2326.9316,15.582194,-0.70471989,0.78414725,1.6457409e+10,757.12396,141242.55,1275.2984
14910.951,136141.11,9.1068679e+10,3756518.1,865.62701,-18.674999,119.26801,701.60256,612.00087,3369.0425,2258.7415,15.488669,-0.74896748,0.78333317,1.5551461e+10,756.50426,140198.47,1268.0102
14881.555,135102.59,9.0580568e+10,3729171.2,858.47675,-18.735343,118.89643,694.08004,611.29488,3234.4274,2240.9475,15.464059,-0.9177256,0.60434996,1.5530634e+10,739.07239,138195.2,1266.7599
14771.741,134298.85,9.0030462e+10,3705981.6,841.94707,-18.831852,118.87508,692.78062,611.20138,3224.6005,2207.108,15.456097,-1.0672711,0.58658916,1.546915e+10,735.23809,138066.13,1265.8514
14763.291,134057.22,8.959605e+10,3651044.9,841.05802,-19.068322,117.47866,691.24676,611.13133,3196.5897,2205.6047,15.361716,-1.0672711,0.55893035,1.5376604e+10,734.18969,137551.39,1265.6078
14691.856,132583.18,8.9574677e+10,3638940.1,840.97777,-19.075637,116.24697,688.37684,610.21674,3173.4815,2198.5475,15.324886,-1.0746671,0.50632945,1.5354327e+10,733.04508,137215.26,1265.016
14635.757,132438.24,8.8797359e+10,3599880.7,835.03038,-19.080308,115.45112,686.105,610.21572,3163.8973,2110.8973,15.320987,-1.1007367,0.49426233,1.5352278e+10,720.15278,135440.31,1264.9263
14635.624,131878.42,8.8307524e+10,3581651.2,834.50028,-19.092534,114.36602,685.82915,610.09908,3052.3636,2103.9474,15.317012,-1.1565429,0.49302739,1.5318602e+10,715.33624,135326.67,1248.7643
