Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
9631.5666,54713.796,1.6863832e+10,1523817.3,341.49859,-25.840433,70.726187,386.52919,530.0266,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.9211287e+09,166.9281,49264.287,605.57148
9631.5666,54713.796,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,530.0266,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.9211287e+09,166.9281,49264.287,594.41239
9631.5666,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,49264.287,594.41239
9631.5666,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,49264.287,594.41239
9631.5666,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,49264.287,594.41239
9631.5666,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,592.14614
9631.5666,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,592.14614
8325.3442,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,587.78403
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,516.83203,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,587.78403
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,587.78403
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,563.11574
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,563.11574
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,563.11574
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,386.52919,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.8929245e+09,162.70927,40845.363,563.11574
8095.5384,49414.914,1.6863832e+10,1129330.8,341.49859,-25.840433,70.726187,377.31431,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,377.31431,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,377.31431,513.14619,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,377.31431,454.66117,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,377.31431,454.66117,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,349.93065,454.66117,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,563.11574
8095.5384,31649.807,1.6863832e+10,1129330.8,306.61731,-25.840433,70.726187,349.93065,454.66117,-3998.2161,-2881.6597,12.957673,-9.2398857,-2.0305984,2.0818848e+09,162.70927,40845.363,554.02421
