Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
15519.129,144639.26,9.4770583e+10,3964618.4,928.36585,-18.153285,121.6024,732.25229,615.97401,3338.6979,3467.958,15.660801,-0.49311894,1.55539,1.7550289e+10,817.19371,152781.01,1562.8818
15276.198,144466.44,9.4398421e+10,3957294.6,925.43589,-18.189676,121.18806,725.92971,614.86249,3231.6275,3395.0501,15.582805,-0.55518695,0.97001016,1.6678433e+10,810.24283,151197.58,1346.4515
15139.331,142973.89,9.3990377e+10,3888882,907.38642,-18.280853,121.16319,720.15339,614.58708,3147.9424,3226.3722,15.572117,-0.5632039,0.96607688,1.6488517e+10,806.23571,145893.64,1337.0868
15127.319,141588.14,9.3697683e+10,3864203.2,874.03333,-18.370255,120.61649,716.92527,614.17955,3104.5332,3146.3665,15.556477,-0.62194536,0.96114529,1.5996014e+10,805.47239,142171.21,1317.6175
15113.618,140336.47,9.0164561e+10,3740155.1,867.90124,-18.41027,119.94697,711.60784,613.13732,2983.0367,3124.0593,15.541665,-0.72593148,0.91173123,1.5770159e+10,795.36489,141877.87,1316.9486
14867.959,139629.79,8.9818881e+10,3711192.5,867.41551,-18.733315,119.70129,706.45034,613.01023,2862.3727,2931.0401,15.481349,-0.77044782,0.89163378,1.5593721e+10,792.70369,141305.02,1305.7045
14846.223,138223.81,8.9762849e+10,3705871.6,860.24759,-18.769257,119.63855,706.40526,612.87863,2800.5297,2711.2663,15.479764,-0.88561825,0.8841537,1.5453355e+10,791.48709,139665.56,1285.2749
14824.326,138123.23,8.8959388e+10,3697027.5,859.08657,-18.819141,119.10036,697.85296,611.10093,2790.504,2647.4483,15.448598,-0.93864362,0.85388699,1.5451036e+10,776.76945,138145.53,1283.1809
14808.341,137793.72,8.891864e+10,3677904.8,858.54279,-18.87144,118.82021,692.06856,609.27262,2751.4845,2564.1746,15.443922,-0.95073191,0.82201489,1.5216105e+10,769.39373,137583.08,1270.6203
14805.169,136848.51,8.7704694e+10,3658540.5,857.19298,-18.87855,118.76287,689.63702,609.23862,2739.026,2520.6257,15.437971,-1.0059244,0.80390688,1.513321e+10,768.13499,136758.46,1260.9355
14717.726,136394.01,8.7481882e+10,3646396.2,846.38393,-18.905647,117.5829,689.53887,608.77974,2710.2054,2500.3799,15.435112,-1.0311949,0.72765174,1.5074788e+10,759.52057,136679.8,1256.8642
14668.603,134610.66,8.6740975e+10,3645014.8,839.84823,-18.922677,117.22799,686.60031,608.38753,2710.2054,2461.92,15.427517,-1.0600909,0.6779206,1.46088e+10,750.25584,136407.05,1255.9682
14625.921,134535.5,8.6045868e+10,3600439.5,836.52466,-18.939803,117.09538,685.40324,607.99917,2709.8997,2449.2327,15.406988,-1.1128867,0.61323009,1.4598591e+10,739.02917,135359.12,1255.6557
14605.621,133879.11,8.5864562e+10,3561849.6,836.42542,-18.966869,116.52518,685.15061,607.79203,2620.6557,2421.7761,15.398378,-1.1505826,0.60949652,1.4584019e+10,736.07407,134746.45,1253.9526
14591.043,133592.25,8.5853243e+10,3561501,835.85879,-18.978083,116.23885,679.87986,607.787,2556.7976,2411.5398,15.384627,-1.1794387,0.58492421,1.4530189e+10,734.71986,134323.06,1252.9859
14576.589,133532.16,8.4832267e+10,3511113.1,834.44869,-18.990394,116.17664,679.71112,607.77464,2527.8442,2367.5408,15.381891,-1.2140141,0.55904261,1.4444208e+10,732.81849,133931.04,1251.5932
