Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
9338.808,52048.445,2.3367598e+10,1642934.5,355.10166,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,3.0745551e+09,211.112,51105.408,538.96731
9338.808,52048.445,2.3367598e+10,1642934.5,344.47241,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,3.0745551e+09,211.112,51105.408,538.96731
9338.808,52048.445,2.3367598e+10,1513157.2,344.47241,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,3.0745551e+09,209.57246,51105.408,538.96731
8924.8392,52048.445,2.3367598e+10,898874.64,272.07048,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,3.0745551e+09,209.57246,51105.408,538.96731
8924.8392,52048.445,2.3367598e+10,898874.64,272.07048,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,3.0745551e+09,209.57246,40123.031,538.96731
8924.8392,52048.445,2.1941881e+10,898874.64,272.07048,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,175.03491,39863.535,538.96731
8924.8392,52048.445,2.1941881e+10,898874.64,272.07048,-25.222618,71.522039,405.19745,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,175.03491,39863.535,538.96731
8924.8392,52048.445,2.1941881e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,175.03491,39863.535,538.96731
8924.8392,52048.445,2.1396506e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,175.03491,39863.535,538.96731
8924.8392,52048.445,2.1396506e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,170.98191,39863.535,538.96731
8924.8392,48326.841,2.1396506e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,170.98191,39863.535,538.96731
8924.8392,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,504.38059,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,538.96731
8924.8392,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,538.96731
8924.8392,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,538.96731
8727.0443,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,538.96731
8727.0443,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,495.23522
8727.0443,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-7.9866614,-1.409262,2.6852942e+09,154.87628,39863.535,495.23522
8727.0443,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.6852942e+09,154.87628,39863.535,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,154.87628,39863.535,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,154.87628,39863.535,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,39863.535,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,39863.535,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,335.28159,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.222618,71.522039,334.08398,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,272.07048,-25.9826,71.522039,334.08398,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-25.9826,71.522039,334.08398,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-25.9826,71.522039,334.08398,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,503.43272,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,472.64958,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,472.64958,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,495.23522
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,472.64958,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.3395074e+09,151.10994,34415.69,454.88076
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,472.64958,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.0334138e+09,151.10994,34415.69,454.88076
7852.4206,48326.841,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.0334138e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.0334138e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,2.0334138e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7887393e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,71.522039,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7887393e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,66.25435,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7887393e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,66.25435,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7887393e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,66.25435,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7887393e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,66.25435,334.08398,467.09655,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,898874.64,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7852.4206,43927.12,1.3591275e+10,838161.33,257.30031,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7776.2189,43927.12,1.3591275e+10,838161.33,234.15468,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7776.2189,43927.12,1.3591275e+10,838161.33,234.15468,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
7776.2189,43927.12,1.3591275e+10,838161.33,234.15468,-26.170538,66.25435,334.08398,440.81683,-4157.7054,-3401.3503,12.491772,-8.7014314,-1.409262,1.7490674e+09,151.10994,34415.69,454.88076
