Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
9328.8707,37167.594,1.2622384e+10,997244.23,213.09574,-26.051757,64.052922,292.65434,493.10952,-5677.0239,-3058.8112,12.824122,-8.1310543,-1.3346022,7.5149074e+08,124.92951,38478.414,421.84208
9122.7362,33983.555,9.2486907e+09,997244.23,213.09574,-26.051757,64.052922,284.19325,493.10952,-5677.0239,-3058.8112,12.563403,-8.5559619,-1.4616224,7.5149074e+08,124.92951,38478.414,420.7933
9089.1674,31564.988,7.1563306e+09,997244.23,213.09574,-26.051757,61.706137,284.19325,477.5135,-6836.4051,-4283.6983,12.195573,-8.5559619,-2.4978252,5.4811638e+08,119.29341,38478.414,375.57738
8157.061,31564.988,4.878847e+09,958374.01,186.99314,-26.051757,61.706137,257.80547,453.39177,-6836.4051,-4283.6983,11.871087,-8.5559619,-2.4978252,5.4811638e+08,119.29341,36353.751,317.38006
7118.3884,24462.359,2.7968278e+09,816025.28,186.02523,-26.051757,61.706137,257.80547,448.5775,-6836.4051,-4283.6983,11.753028,-8.5559619,-2.4978252,4.4468878e+08,88.573163,28775.587,304.84302
7118.3884,19998.932,2.7337223e+09,700811.79,143.8058,-27.712641,61.706137,238.10599,429.57163,-7268.9279,-4283.6983,11.648978,-8.837943,-3.3179007,3.4622896e+08,66.987501,23146.201,304.84302
6649.3978,16930.513,1.7522281e+09,606968,108.63142,-27.712641,60.579884,232.87474,424.06743,-7268.9279,-4283.6983,11.648978,-8.837943,-3.3179007,2.5751377e+08,47.174372,19892.222,293.52317
6459.0616,14882.915,1.2288942e+09,521843.44,95.477874,-27.730751,60.579884,204.48062,411.75333,-7378.2469,-4428.9455,11.601418,-9.1851958,-3.7625967,1.9196806e+08,34.794158,15986.008,292.14862
5896.3478,11706.407,8.8791258e+08,420242.06,76.754089,-29.37826,60.579884,186.64894,403.84671,-8595.6008,-4627.866,11.404896,-9.4040525,-4.0491277,1.4141124e+08,28.546717,13643.611,275.12398
5726.4043,10389.893,6.267093e+08,383419.11,61.318729,-29.37826,59.106307,186.64894,393.81369,-8595.6008,-4840.6853,11.325521,-9.4040525,-4.4664066,1.0155275e+08,25.389481,11617.629,252.70786
5508.4675,8949.1143,4.7148449e+08,331509.01,49.442338,-29.37826,59.106307,181.25666,386.52524,-9438.7767,-5330.8813,11.196066,-9.4040525,-4.5534669,73758231,23.925245,9828.8914,231.97947
5389.8593,7794.0862,3.7775855e+08,293754.04,43.162931,-29.37826,59.106307,157.80616,378.37129,-9617.4635,-5606.489,11.196066,-9.4040525,-4.988873,62368633,22.045353,8788.2943,231.97947
5241.2482,6994.242,3.1820413e+08,263697.34,36.645959,-29.37826,59.106307,136.07175,378.37129,-9792.3054,-5789.5138,11.196066,-10.556699,-4.988873,50133521,20.018072,8134.8674,231.97947
5125.2998,6302.9543,2.7312517e+08,253693.21,33.30469,-29.37826,58.651008,133.31674,376.76591,-10110.664,-5889.0574,11.196066,-10.853647,-5.4862835,41621804,19.062411,7492.3968,231.97947
5014.0789,5767.542,2.3228546e+08,226125.7,31.097014,-29.37826,54.123843,123.65805,371.13078,-10154.856,-5999.9859,11.196066,-11.656204,-5.8431493,37485675,18.027195,6851.2049,193.08318
4930.3794,5385.8762,2.0568301e+08,215675.47,27.91083,-29.37826,54.123843,123.65805,369.58276,-10263.765,-6026.1334,11.19107,-12.296524,-5.9989403,33614763,17.177243,6464.036,191.80887
4889.0995,5060.1305,1.8634489e+08,211405.8,26.724117,-29.37826,51.191697,118.54168,363.08757,-10495.983,-6138.3463,11.158072,-13.477699,-5.9989403,30905393,16.996508,6089.4951,191.80887
4822.3313,4790.4729,1.7354058e+08,204812.86,24.788905,-29.37826,50.718361,116.84793,352.68758,-10780.223,-6178.8069,11.12365,-14.501119,-6.138791,28099389,16.711988,5711.3603,179.5021
4700.7194,4581.8709,1.5830509e+08,196179.45,23.054065,-29.37826,48.248674,110.71802,348.93639,-11005.452,-6258.3739,11.05723,-16.336613,-6.138791,26244817,16.513382,5535.3838,169.3387
4641.8607,4383.7531,1.4429233e+08,186323.43,21.981181,-29.37826,46.72997,106.97225,348.61402,-11142.046,-6285.1082,11.05723,-16.336613,-6.2325641,24939378,16.383119,5175.7209,169.3387
4616.8622,4229.3781,1.3797188e+08,180293.61,21.201836,-29.37826,46.388205,104.2584,346.47093,-11271.669,-6363.1035,11.05723,-17.352397,-6.2861835,23736930,16.306723,4991.7833,150.89045
4589.0743,4116.4907,1.2816529e+08,176212.38,20.643824,-29.37826,44.990111,101.66862,346.09915,-11359.066,-6434.4564,11.05723,-17.481315,-6.2861835,22837741,16.232784,4880.7955,135.22019
4575.3607,4004.2496,1.2409449e+08,171322.15,20.039923,-29.834334,43.272171,99.62016,345.06744,-11454.262,-6455.0197,11.05723,-17.919498,-6.3253522,21919209,16.155551,4715.1287,121.6253
4559.9173,3915.0044,1.1941069e+08,167809.51,19.431675,-30.142973,42.66681,97.846334,342.9395,-11492.485,-6518.7224,11.05723,-18.168981,-6.3339048,21268662,16.102715,4568.1584,113.35041
4553.2188,3850.5378,1.1555737e+08,166479.84,19.01858,-31.110455,42.275333,96.868657,341.38973,-11528.184,-6552.213,11.05723,-18.258655,-6.3443826,20774062,16.040855,4481.0182,102.21539
4546.8558,3778.6126,1.1297805e+08,163944.22,18.774991,-31.56345,41.883247,95.9918,340.68641,-11578.006,-6602.5199,11.039853,-18.301398,-6.3460962,20229159,15.971511,4388.9018,96.623922
4543.467,3718.0399,1.1053819e+08,162055.72,18.512544,-31.857166,41.110188,94.999027,340.28283,-11599.327,-6631.6559,11.025432,-18.314633,-6.3507163,19908140,15.921729,4313.9978,92.14265
