Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
15571.163,159125.95,1.0104085e+11,3835225.8,955.04024,-18.511381,127.71172,768.98835,606.90183,3657.9885,3057.8206,15.424275,-0.2545564,1.7797046,2.4042918e+10,825.76147,154892.27,1308.0342
15152.18,124277.9,8.0202955e+10,3529620.9,809.51438,-18.87121,126.85698,693.6956,603.11801,4910.8708,3267.6845,16.247543,-0.70723999,1.2269186,1.7479156e+10,694.96724,132019.12,1279.5979
15555.919,106699.34,6.3183314e+10,2715924.2,624.48039,-19.873982,133.68911,587.24335,597.44716,3251.7301,3162.1326,15.998998,-0.86015213,1.2805496,1.09489e+10,494.73061,112902.6,1073.6585
15070.264,90862.462,4.5231552e+10,2139645.1,574.63716,-19.86199,121.95965,530.81198,591.57568,3298.8961,2536.324,15.880504,-0.63577536,1.7522542,6.8245058e+09,423.65798,96106.011,1003.5208
15135.452,69384.795,2.7962449e+10,1689538.8,476.37011,-20.068751,115.35925,466.25446,580.15962,3289.2756,2657.7421,16.33788,-0.27797845,2.6524866,4.3493616e+09,271.93484,73582.987,876.7644
15394.575,51489.577,1.777999e+10,1323915.3,347.23709,-19.926759,111.40425,404.56268,577.7729,4456.5421,2190.3044,16.086606,-0.92683653,2.4240121,2.733171e+09,242.54497,54057.729,797.13619
15510.517,39963.791,1.0930091e+10,1005969.9,228.52555,-20.714446,112.79331,361.9895,564.82569,3601.3863,2084.4035,16.843274,-0.94976509,1.6719002,1.4984401e+09,170.74121,39981.305,765.08987
15384.67,31398.521,6.8163215e+09,778126.62,173.80641,-20.314228,103.18474,327.08203,553.11293,3443.6751,2166.083,16.373315,-0.89780711,1.4483273,9.7268352e+08,182.53366,28601.021,768.75609
15411.941,23856.025,4.2313362e+09,618317,135.4749,-19.688138,102.14463,282.57652,541.07685,4096.234,2456.9191,16.555463,-1.2446798,1.9001938,6.8635008e+08,121.20072,19181.574,705.33398
15000.117,18898.403,2.6439903e+09,475722.63,108.65845,-21.091017,104.01546,262.50609,505.56689,3802.7813,2574.4005,16.514149,-1.1410614,1.9335859,3.820845e+08,99.051989,14300.82,683.27988
15235.173,16267.591,1.792725e+09,412250.68,99.71186,-21.869321,109.00648,256.32172,455.39967,3751.9992,2399.0398,16.158254,-1.3140584,2.3091003,2.7530543e+08,136.04432,11847.152,662.66759
15058.426,14297.848,1.3110971e+09,348919.84,91.513134,-21.616642,115.73071,262.7786,406.80352,3385.9998,2015.992,16.313863,-1.247528,1.9632108,1.6385712e+08,128.56335,9535.8185,623.21303
15191.449,12852.851,8.6801226e+08,307983.4,80.095421,-21.571529,109.67643,249.43597,386.14276,4923.8962,2545.3381,16.401911,-1.027726,2.3601231,78516429,117.50126,7821.1837,653.51076
15170.439,11698.336,5.912348e+08,290509.25,69.737245,-20.683823,97.925445,256.51155,363.97186,5053.2812,2737.6808,16.418905,-1.1498279,2.3026553,43503942,114.55251,6814.4067,627.74556
15302.182,10617.52,4.9469795e+08,275614.62,63.313662,-21.783969,100.24836,238.39956,345.48934,3416.0783,2543.605,16.427569,-1.1513006,2.1331229,29788493,103.31886,6300.2526,640.09863
15223.858,9836.666,4.5515688e+08,258028.48,59.615403,-21.115476,102.84458,246.3327,333.1344,4253.3666,2556.3594,16.202321,-0.64428535,1.9569186,26027436,108.66251,5933.8113,718.04342
15461.819,9355.7262,4.0326938e+08,260482.23,57.528118,-21.282072,102.58368,240.14593,326.62832,3937.8962,2314.7507,16.069059,-1.3804189,2.7074466,22556060,109.65763,5390.1559,655.12066
15086.137,9022.1865,3.6862047e+08,280656.68,55.647112,-20.793339,103.59963,236.56019,322.98041,4336.619,2493.0017,16.322535,-0.9614626,1.9868682,19732709,109.11974,5001.7667,570.70499
