Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
3.38704,0.069548,0.069123,0.063047,0.140222,0.068128,0.183759,0.084623,0.110956,0.081123,0.142888,0.05716,0.08135,0.101752,0.02808,0.120018,0.026269,0.058917
0.061439,0.036128,0.036895,0.057573,0.056028,0.053244,0.115447,0.068241,0.10259,0.081029,0.141027,0.057068,0.079191,0.100705,0.028178,0.061724,0.027131,0.059348
0.060779,0.023914,0.023841,0.054851,0.056025,0.052709,0.114825,0.066644,0.101421,0.080289,0.139053,0.057299,0.079187,0.100267,0.027623,0.061393,0.027125,0.059166
0.061465,0.024091,0.024289,0.0561,0.056076,0.052809,0.793462,0.066899,0.101217,0.081654,0.139412,0.056898,0.07868,0.099889,0.027461,0.061394,0.026739,0.059385
0.061555,0.024462,0.02449,0.056904,0.056272,0.052018,0.114961,0.065306,0.109584,0.080933,0.139315,0.056919,0.084989,0.165666,0.027949,0.061265,0.026174,0.059486
0.060216,0.024242,0.023753,0.056184,0.055871,0.052969,0.11433,0.063777,0.136563,0.080432,0.138912,0.057017,0.078809,0.100731,0.027864,0.061186,0.026876,0.058577
0.061153,0.024256,0.024433,0.056869,0.05604,0.052038,0.114202,0.06614,0.142681,0.08061,0.138026,0.057643,0.078761,0.10055,0.027262,0.061205,0.026993,0.059456
0.061155,0.024317,0.02348,0.056702,0.05599,0.053118,0.114186,0.059797,0.136041,0.195763,0.137178,0.056646,0.07872,0.10017,0.02781,0.061691,0.026639,0.059373
0.060539,0.024074,0.024387,0.056649,0.055839,0.049487,0.11608,0.055087,0.110814,0.081293,0.137754,0.057213,0.07885,0.099438,0.027883,0.061357,0.026454,0.058209
0.078229,0.024223,0.023737,0.056363,0.051687,0.04703,0.116375,0.066211,0.119374,0.079714,0.137971,0.057383,0.078857,0.100194,0.028198,0.061245,0.02709,0.059889
0.060957,0.024123,0.023992,0.056356,0.054821,0.047386,0.115991,0.061361,0.101686,0.079187,0.137237,0.057076,0.078536,0.100004,0.027269,0.061152,0.026986,0.059293
0.060778,0.024396,0.024125,0.055486,0.056172,0.04786,0.116142,0.046899,0.101399,0.080398,0.162363,0.056976,0.078821,0.100105,0.026756,0.067185,0.02623,0.067837
0.061276,0.02452,0.023701,0.05569,0.055807,0.046148,0.116016,0.047124,0.101196,0.079767,0.160446,0.056901,0.078816,0.099998,0.024678,0.062743,0.02677,0.059528
0.060423,0.020977,0.024264,0.050644,0.055907,0.047548,0.11602,0.047032,0.101394,0.080286,0.160834,0.057517,0.078603,0.100484,0.025303,0.047013,0.026793,0.058679
0.061223,0.015736,0.023258,0.054951,0.057046,0.048267,0.115971,0.046794,0.101433,0.080137,0.160932,0.057098,0.078483,0.099926,0.027824,0.041082,0.027158,0.059899
0.061592,0.019301,0.024362,0.054422,0.057188,0.048928,0.116598,0.047054,0.101396,0.079944,0.161174,0.056821,0.078627,0.100316,0.028377,0.046233,0.02597,0.059668
0.058911,0.020508,0.023937,0.054511,0.057397,0.049188,0.116077,0.046678,0.10116,0.080025,0.16155,0.057545,0.078601,0.100041,0.027082,0.04123,0.026834,0.058843
0.057817,0.020534,0.024098,0.056013,0.057379,0.048902,0.116236,0.056857,0.101225,0.080078,0.160753,0.057028,0.078942,0.074967,0.028181,0.047416,0.027144,0.059806
0.059187,0.02072,0.024562,0.055562,0.057574,0.04912,0.115969,0.046627,0.101367,0.080509,0.1599,0.056831,0.111083,0.07217,0.027597,0.041315,0.026669,0.058451
0.058341,0.020882,0.023787,0.056063,0.057269,0.049869,0.116354,0.063233,0.104165,0.079565,0.157858,0.057021,0.097994,0.086855,0.027682,0.04146,0.026186,0.059779
0.059067,0.016719,0.024445,0.055239,0.057653,0.048684,0.116226,0.052603,0.101202,0.080108,0.157287,0.05765,0.093234,0.083191,0.027323,0.041668,0.026787,0.059995
0.059383,0.014266,0.081378,0.054198,0.057112,0.048661,0.141941,0.051588,0.101487,0.080373,0.157721,0.056911,0.098522,0.072096,0.02813,0.041382,0.026889,0.058544
0.059612,0.014258,0.024381,0.054021,0.056887,0.050939,0.136631,0.047064,0.101314,0.079759,0.157493,0.056926,0.092074,0.072584,0.028151,0.041599,0.026711,0.059801
0.059537,0.014147,0.023361,0.05374,0.057115,0.053243,0.13585,0.046878,0.101178,0.080534,0.155973,0.057595,0.092356,0.072254,0.02739,0.041623,0.026546,0.059113
0.059656,0.014107,0.024514,0.054072,0.050963,0.05232,0.136011,0.047053,0.185924,0.079911,0.15706,0.057129,0.104001,0.072041,0.028229,0.041482,0.026866,0.058582
0.060022,0.014226,0.023849,0.054049,0.05096,0.053222,0.136382,0.062776,0.171459,0.079616,0.156761,0.057286,0.0924,0.072352,0.027822,0.041123,0.02702,0.059613
0.059348,0.013847,0.024075,0.05404,0.055637,0.052548,0.135816,0.053055,0.172106,0.080432,0.156382,0.08512,0.091959,0.071844,0.027701,0.041387,0.026837,0.058354
0.059187,0.013949,0.023994,0.054337,0.057107,0.05249,0.135886,0.06668,0.171705,0.079426,0.156927,0.067218,0.102864,0.077254,0.026996,0.041105,0.026711,0.059517
0.059848,0.014128,0.023743,0.053788,0.058022,0.053222,0.136437,0.067898,0.17276,0.105385,0.156451,0.066615,0.120644,0.072693,0.028155,0.041605,0.026983,0.059744
0.059425,0.013909,0.024481,0.053957,0.057055,0.052453,0.135664,0.059047,0.172328,0.093247,0.157445,0.067436,0.121018,0.076066,0.028014,0.041399,0.027172,0.049854
