Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
159.008,1.41866,0.042644,0.1009,29539.4,0.126254,28.3229,1.64352,1.91025,0.624233,2261.17,0.087537,0.19262,0.575016,0.026544,101.722,0.225093,0.168606
180.549,0.361083,0.042738,0.085019,37251.1,0.091735,49.2003,3.67819,2.10547,477.038,0.319632,0.088325,0.192633,640511,0.026,106.54,0.327188,0.074226
72.7307,0.305452,0.027822,0.075141,56104.1,0.081613,6087.94,2.32417,1.9647,357.28,0.411413,0.118873,0.190998,1.64435,0.025907,113.064,0.331557,0.073672
163.791,0.485822,0.026932,0.073074,33124.7,0.079457,73.0572,8.41867,1.00208,623.566,1624.87,0.087941,0.195621,1.93033e+06,0.025899,99.3246,0.224689,0.073819
192.474,0.364208,0.03953,0.073151,54740.4,0.07981,32.3421,8.38702,1.41461,16.5372,304.698,0.089975,0.190687,0.495586,0.030512,18.193,0.226667,0.097312
68.5459,0.387644,0.028076,0.072672,54619.7,0.07946,23.2415,1.89194,1.36466,222.72,1.31739,0.118542,0.191298,0.659659,0.025783,96.9912,0.221848,0.143498
185.183,0.372501,0.026824,0.073249,59077.1,0.133165,4812.75,9.756,1.24325,111.124,6232,0.119256,0.191628,34316.5,0.025956,104.361,0.229395,0.142678
76.1479,1.56575,0.02698,0.073272,30374.3,0.079569,5003.97,9.00249,1.61601,2147.91,1139.54,0.088738,0.191808,1.96283,0.025708,0.157602,0.222858,0.14476
163.658,1.52472,0.026993,0.072818,29489.4,0.079194,285.06,8.63967,5.87285,373.886,891.504,0.08825,0.189878,52.5753,0.025727,98.0292,0.328705,0.098326
66.3284,1.46263,0.026918,0.072852,55698.7,0.078732,116.082,2.81661,1.86745,787.196,1336.71,0.088163,0.190518,0.274426,0.02572,19.4541,0.222783,0.120006
79.1873,0.423086,0.028128,0.074257,30014.5,0.080101,247.031,8.38904,2.09718,0.13027,0.189413,0.087999,0.192937,578.415,0.025837,91.2136,0.22383,0.144677
166.097,1.37973,0.026845,0.073208,58494.4,0.078566,38070.4,1.21708,1.49673,245.209,425.967,0.088798,0.192277,1.46883,0.025944,92.232,0.332019,0.0742
87.094,1.38213,0.026551,0.073131,30134.7,0.078956,28.1611,2.13355,1.00474,259.582,2086.98,0.089224,0.192283,19246.5,0.027258,100.562,0.335471,0.074563
162.1,0.333064,0.026863,0.073038,55918.2,0.078459,32.8093,10.3152,1.86611,705.668,21.3834,0.08845,0.19109,63406.5,0.025862,97.5762,0.33615,0.074139
158.181,0.384682,0.02673,0.072941,42964.2,0.106086,0.488868,9.02805,1.60154,323.922,972.567,0.088345,0.192618,6.71867,0.026071,103.91,0.223106,0.097255
74.3272,0.346773,0.026819,0.073257,32759.9,0.079216,32.5559,9.47236,1.60682,304.565,2547.67,0.088462,0.189283,24.3004,0.025609,100.164,0.227601,0.143254
161.107,0.452323,0.026575,0.072996,57094,0.078447,27.3477,1.53733,1.84516,1950.01,0.271915,0.088054,0.192937,4.97527,0.025751,17.6047,0.328864,0.075294
174.661,1.36729,0.026762,0.073368,56233.8,0.079304,25.9826,8.59831,1.49422,690.932,164.541,0.089027,0.19113,1.09069,0.025532,101.772,0.229619,0.120118
90.3303,0.385753,0.027741,0.074297,55693.8,0.080598,37.2977,2.70936,1.25119,1206.96,0.919686,0.087592,0.195575,11.3092,0.025889,24.2071,0.332709,0.07475
179.266,1.347,0.027238,0.073382,30914.6,0.07839,70.624,1.84167,1.00752,839.902,6243.36,0.088003,0.189705,11.3703,0.025737,21.9922,0.322167,0.311247
177.472,1.38928,0.026874,0.072655,51821,0.080215,34.7902,2.42601,1.98125,1138.1,638.816,0.089161,0.193654,0.485571,0.02674,96.6382,0.223349,0.120811
165.327,0.362678,0.026704,0.07289,57092.8,0.079381,2038.83,1.95124,1.62248,1284.36,826.999,0.088427,0.192519,2.3988,0.025856,98.3996,0.331363,0.074383
69.2827,1.38144,0.026865,0.072552,58768.6,0.106739,4591.86,8.45696,1.48047,373.124,0.430489,0.088018,0.194078,0.363991,0.025729,100.913,0.33744,0.214082
85.5889,1.37216,0.026854,0.072911,56941.7,0.07921,867.641,1.67939,1.60557,218.342,206.529,0.088448,0.190873,17.1518,0.025627,106.734,0.333672,0.119075
75.878,1.39114,0.026772,0.073226,30551.1,0.078993,158.444,8.52891,1.50161,453.021,228.55,0.118956,0.191284,50.0527,0.025975,103.777,0.318725,0.099934
157.62,0.321253,0.026648,0.072612,56011.3,0.105827,2873.28,9.14101,1.24291,340.99,24.6581,0.095065,0.190429,2.71322,0.025769,100.042,0.220712,0.190858
80.5394,1.32294,0.027965,0.073893,40541.4,0.09626,35.1971,1.55708,5.9393,316.243,1198.62,0.088321,0.190056,2.00574,0.026001,96.7518,0.22615,0.142654
76.9644,1.39207,0.02816,0.072631,33056,0.089933,3060.55,2.28015,5.20406,150.42,1113.87,0.088072,0.192873,0.704523,0.025889,103.922,0.332821,0.073799
70.3594,0.371708,0.026681,0.072923,31120,0.089453,7.28852,4.15016,1.50575,764.53,0.191022,0.120364,0.188344,0.360597,0.026808,97.8595,0.331321,0.120089
70.0382,0.394486,0.026692,0.072536,29389.5,0.089565,19028.1,4.72068,307.757,289.2,24.1005,0.088481,0.194715,0.360232,0.025864,103.577,0.320759,0.097184
