Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
9299.39,59537.3,2.763e+10,1.88488e+06,473.477,-23.4826,67.402,490.878,556.777,-3618.49,-3366.56,13.4184,-5.94853,-0.678269,5.63229e+09,211.733,62310.6,667.256
10754.8,69426.1,2.7028e+10,1.81807e+06,326.152,-23.0398,78.5931,443.77,541.864,-3396.39,-2366.88,13.3345,-6.56502,-0.272326,4.2133e+09,308.637,75542.8,765.186
10675.1,71784.7,2.69119e+10,1.60273e+06,490.92,-24.0384,77.1947,491.726,525.842,-4341.06,-2353.34,13.6232,-5.46093,-0.659244,4.65082e+09,181.225,53722.7,750.67
10282.3,69665.6,4.02154e+10,1.93183e+06,452.131,-23.9163,81.7765,465.867,528.801,-2572.35,-2275.91,13.7732,-5.75816,-0.347323,5.05888e+09,231.347,68501.6,746.404
11038,62757.3,3.36344e+10,1.84795e+06,427.011,-23.7107,79.4677,442.86,540.993,-2867.5,-1633.51,13.0249,-7.64205,-0.462724,4.44148e+09,282.215,65407.5,829.738
10716.8,65390.9,2.68567e+10,2.35288e+06,407.856,-23.1644,75.1778,362.024,551.424,-2272.3,-2794.21,13.8545,-5.63032,-1.13201,5.2856e+09,237.598,75849,664.438
9541.15,67266.2,4.01645e+10,1.57702e+06,460.442,-23.1864,65.4438,487.649,552.871,-3745.12,-1981.43,13.3884,-6.74846,-0.613923,3.26653e+09,196.595,76006.5,746.766
11008.7,80934.3,3.37749e+10,1.80707e+06,339.826,-24.85,80.2836,467.228,499.16,-2929.47,-1391.65,13.6297,-6.43085,-0.494413,4.37454e+09,269.913,72887.5,606.162
10923.2,84501.6,3.15394e+10,1.87079e+06,438.191,-24.0619,77.8756,475.868,525.255,-2482.51,-1722.77,13.0784,-5.2719,-0.585326,5.31337e+09,242.501,68750.2,636.154
10673.9,77506.2,3.37805e+10,1.70771e+06,373.148,-24.1948,71.3486,484.655,534.775,-3849.26,-1973.86,13.9767,-6.79337,-0.296585,5.20983e+09,254.788,75699.9,609.775
10755.4,64823.9,3.04056e+10,2.00674e+06,362.015,-24.8415,71.032,483.864,530.512,-3496.97,-1670.35,13.7115,-4.80461,-0.530202,5.19134e+09,268.931,71700.8,602.925
9107.38,67344.5,3.58768e+10,1.56195e+06,314.835,-25.6798,82.2121,496.318,550.899,-3496.87,-2642.02,13.2406,-6.101,-0.631614,4.82385e+09,258.468,66507.1,765.952
10474.5,65421.8,3.75504e+10,2.07759e+06,352.165,-24.5657,77.5066,400.427,541.617,-3728.18,-2174.67,13.6724,-6.22813,-0.316094,5.72009e+09,276.109,76903.5,747.893
9429.14,63744.3,2.70551e+10,1.55556e+06,335.709,-23.1834,74.7803,483.961,551.701,-2886.61,-2695.56,13.4081,-7.64629,-0.580688,3.90215e+09,334.814,61638.2,668.459
9487.62,66058,2.37904e+10,1.75493e+06,426.952,-23.6994,80.8696,500.192,553.356,-3182.61,-1640.99,13.7342,-5.49948,-0.596772,4.2235e+09,288.654,68778.3,664.735
