Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
3546.95,0.0605,2.10469e+10,613762,1.00001,-16.6326,21.2735,180.087,341.138,-8339.47,-5076.19,8.84966,-4.79291,-1.45664,2.15884e+09,35.8125,6.1605,387.389
3925.35,0.0605,2.00325e+10,676591,1.00002,-16.0739,20.4847,204.72,302.634,-6481.36,-4131.13,8.6688,-4.73109,-0.289534,8.73058e+08,37.4441,6.1605,328.675
3423.9,0.059539,1.34483e+10,596733,1.00002,-16.3301,23.0967,160.233,324.648,-6639.36,-4058.98,8.79283,-4.50415,-0.29571,2.13596e+09,30.7143,6.11703,343.743
3191.52,0.0601326,1.3066e+10,604268,1.00001,-17.8725,20.634,172.565,318.809,-7225.01,-4940.65,8.47771,-4.35175,-0.291917,1.86456e+09,33.9067,6.1605,288.939
3147.51,0.0553472,1.4899e+10,910768,1.00001,-16.0741,25.5975,175.224,311.456,-8022.02,-4778.75,9.0537,-4.47629,-0.357922,1.48456e+09,43.6295,6.19127,464.003
3119.14,0.057568,1.04113e+10,872397,1.00001,-15.5614,22.0679,207.06,339.085,-9192.91,-1929.6,8.46207,-4.51698,-0.0649805,2.13776e+09,50.79,6.1605,377.426
3020.89,0.0604661,1.68892e+10,581621,1.00002,-15.9648,20.2904,228.429,340.259,-9092.82,-3457.33,8.59757,-4.04857,-1.46239,8.10116e+08,26.9007,6.1605,188.126
2875.2,0.0578035,1.86636e+10,862674,1.00001,-16.0747,19.8832,205.786,310.646,-2365.85,-5317.42,8.85426,-4.48518,-1.03221,1.54786e+09,22.2254,6.10547,343.226
3183.71,0.0542049,1.79684e+10,910858,1.00002,-16.0863,21.4942,209.06,333.241,-7944.98,-5354.01,8.99718,-5.0013,-0.738808,1.52216e+09,28.7427,6.10463,359.622
2673.88,0.0537143,1.535e+10,531594,1.00001,-17.1691,21.0117,191.042,318.231,-8396.64,-4618.72,8.78769,-5.85902,-0.280402,1.99452e+09,51.6301,6.1605,417.948
3968.82,0.0602597,2.03768e+10,559579,1.00002,-15.7634,22.7383,186.687,334.452,-7489.55,-5029.05,7.68105,-3.73819,-0.738091,1.15783e+09,29.77,6.1002,245.311
4067.19,0.0530634,1.67494e+10,828660,1.00001,-17.1942,21.7094,176.262,314.288,-6644.63,-2128.42,8.59843,-5.2474,-0.586573,1.8069e+09,43.017,6.11124,311.467
3407.83,0.0605,9.87351e+09,738063,1.00001,-15.5362,20.8004,187.196,322.73,-9149.72,-5013.97,8.6007,-4.56694,-1.14406,1.27556e+09,25.3453,6.1605,416.204
2582.98,0.0579739,1.56529e+10,835237,1.00001,-16.5533,23.0305,204.337,314.06,-7080.48,-2981.49,9.01784,-4.09211,-0.721267,2.02068e+09,26.9996,6.11267,262.224
3822.96,0.0592474,7.89635e+09,888030,1.00001,-16.491,20.2468,205.079,336.982,-8648.37,-5222.35,9.13987,-4.86586,-0.729866,2.05682e+09,28.6297,6.12665,232.734
4084.6,0.0559733,1.81692e+10,611250,1.00002,-15.8674,26.9451,230.518,333.866,-8277.31,-6017.9,8.59212,-5.31799,-0.732198,1.67947e+09,46.9458,6.13487,296.952
3570.13,0.0605,1.62286e+10,707461,1.00002,-16.3003,19.8904,183.947,334.978,-8011.56,-4543.33,8.95288,-4.95247,-0.30383,2.44802e+09,54.4434,6.1605,294.683
3621.35,0.0605,2.00672e+10,810434,1.00002,-16.7006,22.0783,180.546,332.284,-6557.71,-1448.67,8.60633,-4.34543,-0.294763,1.79807e+09,25.0853,6.12212,271.44
3391.92,0.0599646,2.23301e+10,741537,1.00002,-15.6526,21.3473,236.629,321.648,-5947.64,-2354.01,8.87959,-5.01162,-0.301688,2.32717e+09,49.7289,6.10165,276.28
4241.68,0.0605,2.58159e+10,751174,1.00002,-15.8806,22.0109,195.828,335.45,-7235.67,-5166.88,8.89734,-4.3803,-0.579324,1.43913e+09,23.1096,6.1605,259.88
2737.01,0.0602186,1.06479e+10,546254,1.00002,-15.7752,21.4246,234.866,321.916,-6507.5,-4878.42,8.92083,-4.10623,-0.726306,1.67353e+09,33.5361,6.1605,424.148
3826.2,0.0590475,1.7228e+10,721764,1.00002,-16.868,19.4352,210.103,303.896,-7099.16,-5408.85,8.58863,-4.47504,-0.295304,1.27131e+09,28.9941,6.1605,438.719
2148.08,0.0556837,1.76762e+10,790235,1.00001,-17.2583,19.6835,187.814,313.435,-8083.4,-4859.38,8.6848,-3.97702,-0.292124,2.038e+09,47.8716,6.05096,282.878
3257.18,0.0605,8.32037e+09,830617,1.00002,-16.5312,22.6556,195.363,304.622,-5643.61,-5057.3,8.78973,-4.11923,-0.723413,1.17606e+09,156.31,6.10904,421.132
2740.23,0.0605,1.49656e+10,586712,1.00001,-15.3037,25.9332,230.082,340.471,-7917.92,-5679.6,8.68237,-4.98352,-1.01217,1.86518e+09,19.8125,6.1605,167.192
3510.14,0.0604419,1.77168e+10,771783,1.00002,-16.1999,20.8006,233.733,324.52,-7048.67,-4783.59,8.68809,-4.38816,-0.304037,2.52032e+09,34.5568,6.1605,194.619
2760.56,0.0605,8.83251e+09,779255,1.00002,-15.599,24.4942,258.175,308.173,-6320.53,-5236.5,8.54159,-5.9061,-0.0716303,1.08068e+09,45.1833,6.1605,294.165
3818.7,0.0603783,1.54813e+10,796448,1.00002,-16.8171,19.8589,197.113,318.422,-7633.77,-5012.16,8.8866,-5.09898,-0.289503,1.23339e+09,29.6569,6.12239,304.381
3553.32,0.0605,1.43135e+10,817479,1.00002,-16.2739,20.3469,193.157,322.627,-8955.98,-2942.95,8.71342,-5.31244,-1.02538,1.6512e+09,31.62,6.1605,388.561
4021.81,0.0605,2.2423e+10,659246,1.00002,-16.7073,19.3682,181.599,287.274,-7644.14,-4815.82,8.95109,-4.84157,-0.296759,1.69965e+09,21.4459,6.05504,330.061
