Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
0.150997,0.078732,0.073287,0.146641,0.106557,0.138543,0.149072,0.068033,0.164815,0.067142,0.113548,0.049613,0.13758,0.077062,0.022753,0.051755,0.021877,0.045519
0.04438,0.02042,0.022737,0.045849,0.052129,0.044712,0.094493,0.061419,0.119715,0.066993,0.112078,0.047834,0.092347,0.07743,0.021766,0.050626,0.021618,0.044845
0.044234,0.019642,0.022548,0.04448,0.050734,0.044204,0.094893,0.061592,0.11922,0.066115,0.112015,0.048941,0.126124,0.079371,0.022228,0.050073,0.022066,0.044887
0.044588,0.021483,0.02332,0.045092,0.051195,0.044639,0.095013,0.061487,0.119236,0.067646,0.110575,0.048474,0.091383,0.077387,0.022248,0.062105,0.021717,0.044718
0.044191,0.021333,0.022395,0.044606,0.051484,0.044508,0.095298,0.061383,0.157396,0.066042,0.110863,0.048569,0.091328,0.078265,0.021976,0.049007,0.022204,0.04543
0.044297,0.021622,0.023386,0.044997,0.050858,0.044615,0.095598,0.06045,0.113948,0.066638,0.109692,0.04855,0.09045,0.078335,0.021957,0.04924,0.020857,0.04444
0.044317,0.020961,0.023362,0.044918,0.051478,0.044639,0.095446,0.060425,0.117282,0.06573,0.110604,0.048216,0.091603,0.079294,0.022206,0.063842,0.022016,0.045941
0.044391,0.021373,0.02271,0.044654,0.051645,0.044715,0.0949,0.060366,0.120977,0.066489,0.110398,0.048559,0.091219,0.077963,0.021465,0.049122,0.021631,0.044604
0.044551,0.021448,0.02341,0.04537,0.051815,0.044721,0.094721,0.060317,0.118726,0.066016,0.110618,0.048158,0.091148,0.077319,0.022206,0.049179,0.021134,0.044355
0.044855,0.021216,0.022515,0.044885,0.05094,0.043841,0.094614,0.060946,0.120242,0.065752,0.111154,0.049095,0.090594,0.077494,0.021651,0.049102,0.021743,0.045701
0.045378,0.021014,0.023203,0.044913,0.052049,0.044526,0.095556,0.060629,0.120499,0.066626,0.109616,0.048505,0.12523,0.077374,0.021771,0.049266,0.021388,0.044896
0.044564,0.02098,0.022442,0.044814,0.051005,0.044696,0.095009,0.051417,0.120956,0.066551,0.109587,0.048518,0.090799,0.078035,0.022084,0.049335,0.021412,0.044968
0.044636,0.021099,0.023225,0.044599,0.051831,0.044243,0.095635,0.05727,0.121003,0.065819,0.109078,0.049037,0.123481,0.078307,0.021843,0.049282,0.021188,0.04472
0.043639,0.020726,0.022708,0.04463,0.051412,0.044538,0.095066,0.06137,0.12072,0.066321,0.103486,0.048723,0.123278,0.077542,0.021574,0.049815,0.021726,0.044978
0.042893,0.021646,0.023285,0.044819,0.05158,0.04421,0.094635,0.061044,0.118059,0.066281,0.08325,0.049288,0.091697,0.077401,0.021897,0.049154,0.021305,0.045203
0.044028,0.02097,0.022752,0.044852,0.051679,0.044061,0.094992,0.061936,0.120183,0.066606,0.083429,0.047894,0.091649,0.076963,0.022063,0.049308,0.021271,0.050517
0.043669,0.021092,0.023485,0.044683,0.050964,0.04454,0.094616,0.061526,0.118693,0.065132,0.083293,0.048853,0.090841,0.07657,0.021805,0.048879,0.021733,0.045419
0.044374,0.021361,0.022751,0.044639,0.051475,0.044465,0.095391,0.061346,0.118162,0.065293,0.082971,0.047993,0.091118,0.076583,0.022119,0.048005,0.02136,0.045155
0.046609,0.021731,0.02342,0.044623,0.05069,0.044847,0.095801,0.061091,0.121478,0.06513,0.083129,0.048639,0.091784,0.075708,0.021562,0.038396,0.021428,0.04482
0.046822,0.021065,0.023152,0.044323,0.051614,0.044562,0.09571,0.060904,0.120834,0.066105,0.083524,0.048545,0.090815,0.074855,0.021744,0.03478,0.021235,0.075758
0.046003,0.021794,0.023424,0.044386,0.051337,0.04473,0.095489,0.061265,0.120163,0.065523,0.098373,0.048892,0.089825,0.075637,0.022164,0.035183,0.021365,0.037796
0.046317,0.020851,0.023094,0.044699,0.051939,0.044531,0.09587,0.060962,0.120753,0.066088,0.08363,0.048205,0.090335,0.076006,0.022266,0.035215,0.021146,0.038783
0.045017,0.021169,0.022997,0.044517,0.051274,0.044208,0.096043,0.061155,0.119369,0.065697,0.08282,0.048641,0.117616,0.076322,0.021841,0.03491,0.021285,0.033994
0.046448,0.020467,0.022951,0.044437,0.051717,0.04471,0.095265,0.061393,0.120775,0.065289,0.118654,0.049222,0.077696,0.077183,0.022103,0.0347,0.021412,0.025702
0.046596,0.021533,0.023477,0.045123,0.051291,0.044154,0.095689,0.061759,0.15985,0.065855,0.07186,0.048654,0.077386,0.076615,0.021899,0.03554,0.02138,0.025496
0.045893,0.020846,0.022571,0.044613,0.051621,0.044583,0.095635,0.06119,0.10151,0.065545,0.075004,0.048777,0.07677,0.075345,0.021469,0.05542,0.021342,0.024953
0.046202,0.021044,0.023917,0.045037,0.051308,0.044653,0.096071,0.061031,0.102622,0.064809,0.069983,0.048486,0.077321,0.075783,0.022031,0.044203,0.02134,0.025276
0.045865,0.020916,0.022883,0.044376,0.05117,0.044695,0.095596,0.061527,0.10179,0.066315,0.070164,0.048484,0.077537,0.076616,0.021747,0.029728,0.021644,0.025672
0.04605,0.021191,0.023371,0.044439,0.051539,0.044286,0.095972,0.061899,0.102307,0.066892,0.072361,0.048463,0.07785,0.103358,0.021656,0.029694,0.021335,0.025132
0.044824,0.021439,0.023103,0.04388,0.051276,0.04423,0.095733,0.061206,0.102296,0.066065,0.070385,0.04872,0.076059,0.064607,0.022065,0.029877,0.021532,0.025271
