Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
54.5349,0.698359,0.048403,0.32994,19129.7,0.115528,496.795,2.2756,1.84824,137.361,268.181,0.093019,0.272655,72.0504,0.028152,8.16808,0.339459,0.174708
79.0463,0.434409,0.041321,0.080183,19010.6,0.082235,111.173,2.39525,1.5309,223.698,258.07,0.092293,0.190356,765.005,0.02755,17.0017,0.310682,0.076716
52.6068,0.325473,0.029777,0.080285,18515.9,0.082011,45.1139,1.60393,3.70026,158.629,1512.56,0.091961,0.19104,93.4204,0.027526,7.59796,0.306885,0.124783
53.3552,0.619335,0.030085,0.079929,19087.2,0.08194,296.78,13.8643,2.5553,119.324,439.317,0.092048,0.188327,87.8062,0.02723,0.118454,0.30749,0.124775
53.013,0.626186,0.031365,0.081641,18415.9,0.083443,277.709,11.4064,1.5418,317.566,134.769,0.091945,0.19087,7.31367,0.02729,7.18555,0.338947,0.126009
49.8141,0.450906,0.030223,0.080415,18330.6,0.081795,303.028,2.07197,1.4078,556.805,27.1318,0.092077,0.190746,2.17934,0.027242,17.0488,0.306267,0.17305
49.236,0.61409,0.030202,0.080448,19108,0.082157,1.64007,1.75885,1.80696,160.673,930.238,0.089091,0.189698,10.4301,0.027337,0.09061,0.313939,0.148206
52.9939,0.601276,0.029779,0.079927,19022.8,0.0823,331.402,8.57491,2.14912,392.762,659.883,0.091215,0.190762,1.86763,0.027282,11.7632,0.311449,0.124932
47.4044,0.570782,0.030011,0.079598,18860.3,0.0824,7.12418,2.38005,2.05065,0.171912,1957.38,0.125763,0.192643,3.12382,0.030199,12.8893,0.302275,0.079488
50.5423,0.630528,0.030091,0.080398,18973.8,0.081958,49.4572,1.36166,1.41613,189.154,542.577,0.09233,0.190143,45.0018,0.027463,12.1583,0.35756,0.201687
66.2328,0.633331,0.030139,0.080718,18717.8,0.082277,28.2123,3.56674,1.03518,324.024,0.265754,0.09229,0.188988,12.9638,0.02706,18.3153,0.302205,0.124601
50.0905,0.61917,0.030032,0.080576,18593.8,0.082037,239.085,1.56487,2.27629,112.627,0.722796,0.09241,0.190476,168.911,0.027419,27.9781,0.35501,0.124912
51.9944,1.50969,0.029866,0.079707,18951.4,0.082517,37.2206,5.18413,1.80166,123.332,304.757,0.092115,0.189471,1.98574,0.027466,11.5265,0.36069,0.148982
46.7053,0.633861,0.03031,0.0803,19132,0.082366,139.409,1.54516,1.66648,240.455,0.660659,0.092464,0.188297,5.78501,0.027435,13.478,0.35585,0.149879
54.9211,0.612691,0.030064,0.079944,18557.8,0.10984,177.85,2.63485,2.16745,170.476,1191.38,0.091944,0.189325,0.939801,0.027334,15.6917,0.358966,0.123667
46.0378,0.322923,0.029962,0.080099,18806.2,0.082639,99.4359,3.62394,2.6808,159.875,1.52475,0.092218,1.32861,4.13977,0.027435,15.1746,0.308315,0.125274
50.2839,0.319882,0.030117,0.080208,18677.6,0.082254,54.8738,1.65197,1.4221,0.359197,142.937,0.092416,0.266857,1.94026,0.027249,11.8711,0.346866,0.100697
67.0773,0.348283,0.030146,0.080422,17859.3,0.082676,201.889,2.6465,1.41936,0.134728,0.571606,0.09172,0.181477,12.5152,0.027264,20.4955,0.304963,0.125895
58.8331,0.3551,0.030046,0.080551,19082.9,0.083048,21.1543,1.55556,1.7994,71.8203,823.522,0.092437,0.250966,112.259,0.027257,9.89556,0.365372,0.0763
52.8377,0.302302,0.030197,0.080022,19285.8,0.082472,159.28,3.83289,2.27629,27.0944,116.97,0.131467,0.189544,48.7073,0.027312,17.6537,0.350836,0.125311
51.934,0.616342,0.031154,0.081358,19012.5,0.138956,101.366,2.07384,0.780172,137.882,150.503,0.091647,0.191058,0.449125,0.027415,13.7136,0.360137,0.171804
69.8658,0.605872,0.030059,0.080167,19206.8,0.082451,145.983,2.15735,1.80602,192.144,20.6324,0.090565,0.189487,190.452,0.178741,15.7157,0.356196,0.076341
68.3726,0.301101,0.02997,0.080357,19302.5,0.093437,94.9749,3.67794,1.8001,119.967,113.877,0.125963,0.188383,5.97898,0.027198,13.1515,0.312074,0.124513
66.1058,0.365882,0.029755,0.080319,19285.7,0.081838,247.792,1.70627,2.54053,0.679994,106.433,0.093355,0.21914,24.8376,0.02713,12.7284,0.307554,0.124533
64.2452,0.315941,0.030165,0.092056,19692.5,0.082245,39.1462,2.39271,2.4176,113.548,2288.37,0.092483,0.223159,1.25506,0.029044,13.3621,1.3402,0.127408
55.3149,0.310572,0.02993,0.080532,18777.9,0.082579,141.47,1.3052,1.2886,100.458,12.455,0.091991,0.189878,0.829965,0.027436,14.9359,0.351556,0.076462
56.9959,0.620897,0.029939,0.080082,19971.9,0.080786,38.3359,1.8635,0.901068,181.306,226.189,0.092406,0.189814,2.32627,0.02712,8.22837,0.360699,0.076609
53.864,0.625333,0.030116,0.080403,18574.1,0.082265,92.3709,1.49698,1.56948,86.2495,233.823,0.092344,0.190485,0.875787,0.027249,10.5681,0.310523,0.172551
56.9316,0.611675,0.030176,0.0802,18929.6,0.081803,77.8773,2.79181,2.23384,99.6267,477.694,0.092143,0.190172,0.52662,0.027238,10.6117,0.310379,0.174813
56.9223,0.601543,0.030409,0.080031,18882.3,0.082282,334.864,2.81607,1.72505,106.217,8.10096,0.092367,0.193525,0.120145,0.027193,12.5363,0.357665,0.101536
