Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
10208.6,67759,2.96881e+10,1.35623e+06,474.087,-23.1423,73.161,422.162,548.953,-4603.36,-1351.39,13.1665,-6.69279,-0.701906,7.60279e+09,185.425,69255.6,496.905
10223.3,63592,2.68173e+10,1.85208e+06,415.316,-24.6222,81.6489,462.109,550.576,-4720.6,-1522.97,13.636,-6.07503,-0.390073,4.61788e+09,256.099,82079.4,632.855
10958.7,72167.3,3.26152e+10,1.78761e+06,400.712,-23.9496,79.147,510.711,550.845,-2734.37,-1525.03,13.863,-5.15045,-0.30076,3.39673e+09,234.393,68720.7,666.534
11005.7,82303,3.30983e+10,1.87118e+06,470.323,-24.5284,77.8881,484.352,545.495,-2861.65,-2544.52,13.7968,-6.07583,-0.50434,4.10079e+09,181.711,70084.3,624.269
9691.16,67372.2,2.37716e+10,1.90319e+06,404.917,-23.2416,74.1592,496.935,553.241,-3761.73,-1562.41,13.9501,-4.97224,-0.686504,5.36203e+09,221.639,70084.8,713.709
10592.1,74166.2,4.01855e+10,1.54048e+06,434.126,-24.9404,72.1487,504.644,544.642,-3750.14,-2390.54,13.5599,-5.05195,-0.328308,3.26659e+09,187.351,67794.3,668.613
10190.4,66723.5,2.85167e+10,1.65784e+06,364.601,-24.5996,81.7307,510.701,561.928,-3668.38,-1795.29,13.6424,-7.18136,-0.242583,4.06405e+09,263.145,75440.3,701.477
10022.3,72079.7,3.20678e+10,1.82719e+06,438.084,-24.64,79.4877,488.68,553.501,-3125.43,-1777.47,14.0392,-7.23891,-0.365422,3.6396e+09,280.78,78303.9,645.182
10727.7,75803.2,4.09834e+10,1.92088e+06,466.216,-23.8353,81.525,478.794,535.385,-4142.81,-2621.67,13.3904,-6.42972,-0.686622,5.3609e+09,257.39,64165,745.466
10620.7,69114.3,3.11207e+10,1.84619e+06,415.297,-23.4749,82.0236,435.091,537.915,-2454.82,-1900.45,13.4997,-5.71309,-0.449203,2.77762e+09,265.309,73269.9,747.923
10031.6,66248.6,2.88646e+10,1.65487e+06,475.275,-23.4075,81.9951,473.472,524.208,-4285.12,-2391.21,14.0266,-8.81805,-0.247292,5.81916e+09,231.505,66278.6,712.148
10890.1,74783.9,3.22208e+10,1.86294e+06,398.504,-23.8257,84.1401,470.551,526.469,-3874.29,-1678.99,13.4919,-6.08048,-0.516061,5.60452e+09,290.395,75695.7,756.033
10629.1,72161.8,3.71366e+10,2.1383e+06,443.118,-23.7305,74.5604,478.785,548.268,-2163.93,-2130.93,13.527,-5.77253,-0.0338272,5.25391e+09,278.934,78755.4,799.781
9658.06,69686.9,3.3356e+10,1.68984e+06,474.402,-23.1751,73.4825,427.234,539.979,-2481.67,-1380.62,13.7649,-6.73876,-0.187063,6.5729e+09,247.048,54954.1,641.682
9548.41,77355.7,3.25529e+10,1.57514e+06,363.704,-23.7108,82.9603,476.973,548.25,-3483.71,-1623.94,13.5879,-7.60796,-0.328179,4.81964e+09,273.384,65384.4,716.283
