Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
3506.57,0.0585587,2.22208e+10,860240,1.00983,-16.2734,23.766,174.644,333.296,-8611.34,-4970.27,8.92945,-4.0567,-0.960948,7.85165e+08,28.9382,6.1605,298.679
3073.17,0.0605003,1.18196e+10,715364,1.00987,-15.759,20.2586,220.279,336.022,-7738.15,-5285.62,8.75141,-4.35,-0.960948,1.81791e+09,81.8886,6.1605,338.977
3632.83,0.0605004,1.81242e+10,644607,1.00989,-16.719,29.2985,226.21,330.278,-5581.82,-1551.92,8.94562,-4.39886,-0.855913,1.83614e+09,39.8521,6.1605,356.043
3451.53,0.0602177,1.16452e+10,542427,1.00996,-16.7008,20.2552,212.137,327.862,-8884.96,-5656.75,8.67555,-4.53461,-1.03042,1.53547e+09,23.844,6.02607,465.503
3526.74,0.0605004,1.36591e+10,606994,1.0099,-17.5822,19.5413,127.547,303.606,-8284.63,-4710.68,8.86318,-3.80833,-0.427007,1.24377e+09,77.3714,6.04489,413.205
3407.88,0.0605003,2.72077e+10,680328,1.00985,-15.9624,31.6373,241.178,330.007,-7440.91,-4452.26,8.92553,-5.68331,-0.807433,1.47914e+09,51.4498,6.27541,423.608
3171.3,0.0605004,6.89927e+09,762211,1.00989,-16.2533,23.7296,219.542,313.348,-9883.25,-5090.93,8.76145,-4.63514,-0.73686,1.49242e+09,34.2835,6.14283,431.101
4459.8,0.0598564,1.78699e+10,767899,1.00999,-16.4067,22.6835,219.745,323.336,-6975.42,-4828.95,8.46131,-4.32492,-0.738108,1.88097e+09,80.7676,6.1605,254.189
3017.2,0.0596315,1.63063e+10,707493,1.00997,-16.8641,20.6623,209.622,320.846,-6950.79,-5972.27,8.59243,-3.8665,-1.00765,2.3673e+09,33.6253,6.05213,278.491
2803.34,0.0605005,2.16363e+10,614850,1.00982,-15.9734,21.8631,204.061,331.797,-3969.77,-1829.08,8.83212,-4.344,-1.66085,1.66094e+09,40.3276,6.11579,408.275
3428.12,0.056229,1.6373e+10,855936,1.01016,-16.6006,22.72,175.207,334.389,-7345.46,-4420.23,8.67253,-4.71371,-0.2898,1.68965e+09,31.5349,6.1605,283.195
4161.74,0.0605003,1.19775e+10,555883,1.00983,-15.8704,20.528,200.411,328.21,-7231.44,-4485.63,8.82601,-4.14813,-0.738103,1.20082e+09,94.5677,6.13855,264.539
2918.05,0.0604813,1.14713e+10,720406,1.00978,-15.2323,20.6783,210.758,326.3,-6102.95,-4797.48,8.83533,-3.56122,-0.801536,2.15875e+09,23.9742,6.14617,203.828
3510.34,0.0605004,1.28578e+10,731493,1.00962,-16.9671,19.552,194.076,317.476,-6882.92,-6127.11,8.53152,-3.79993,-0.293507,2.22369e+09,33.0375,6.15647,350.394
2480.02,0.0597845,1.62702e+10,622778,1.00994,-16.6504,21.3747,230.151,326.726,-9457.79,-6435.83,8.69421,-4.9416,-0.295911,9.44578e+08,88.485,6.1605,386.897
3293.28,0.0602735,1.90208e+10,692980,1.01017,-16.2176,19.645,228.932,322.668,-8390.9,-5275.84,8.85435,-3.9682,-0.738012,2.68439e+09,56.8014,6.1605,303.103
4004.37,0.0548987,2.13738e+10,687814,1.00992,-16.8038,22.5363,149.265,322.754,-8468.04,-4874.18,8.66761,-5.87862,-0.738083,2.11259e+09,16.2064,6.11415,357.994
3609.37,0.0605006,2.40586e+10,483938,1.00993,-15.3948,26.8474,185.572,324.331,-7047.47,-5031.89,9.03732,-4.28155,-0.726973,6.97089e+08,30.7986,6.06604,216.849
3692.24,0.0605003,1.5739e+10,750678,1.01002,-15.6587,19.9707,152.35,317.781,-3518,-5204.16,8.69654,-5.87063,-0.737834,2.00243e+09,101.331,6.02288,315.305
2559.1,0.0605004,1.1165e+10,821651,1.01007,-15.6817,27.2353,202.201,332.406,-7894.29,-4774.42,8.62721,-4.92086,-0.960996,1.53741e+09,31.1511,6.1605,443.315
3744.02,0.0586405,2.12602e+10,944459,1.01004,-17.1569,24.6766,225.736,313.18,-6801.92,-5495.81,8.47587,-4.76131,-0.725633,1.09866e+09,18.3872,6.15982,206.436
2543.39,0.0600074,1.6452e+10,779178,1.00995,-15.9241,24.77,194.98,309.759,-7112.31,-5608.4,9.16897,-5.08705,-0.295159,2.41318e+09,37.7482,6.11088,280.746
