Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
0.156727,0.069975,0.057353,0.149571,0.161218,0.157357,0.112179,0.178494,0.133248,0.080962,0.137371,0.070094,0.106099,0.083649,0.024355,0.057468,0.025151,0.096656
0.051697,0.015472,0.023439,0.05107,0.059898,0.054912,0.10278,0.069311,0.161443,0.079647,0.133798,0.124614,0.102034,0.083679,0.024954,0.056046,0.024253,0.053094
0.051799,0.022701,0.023437,0.050479,0.059667,0.053811,0.102444,0.069222,0.131506,0.1101,0.133611,0.056877,0.102803,0.082771,0.02441,0.05665,0.024788,0.052087
0.051763,0.022942,0.023969,0.050886,0.059458,0.053763,0.102318,0.069421,0.131279,0.080252,0.133848,0.056245,0.102907,0.082595,0.024815,0.056162,0.024751,0.052597
0.050903,0.023716,0.024768,0.050873,0.059386,0.054201,0.102303,0.069933,0.501868,0.080028,0.132789,0.056385,0.10196,0.082015,0.024532,0.05631,0.024471,0.052515
0.051641,0.024288,0.025017,0.050664,0.0592,0.053982,0.102754,0.068996,0.133052,0.079125,0.132296,0.056356,0.102701,0.082375,0.024804,0.056613,0.024723,0.051496
0.050887,0.024313,0.024892,0.049875,0.059465,0.054377,0.101194,0.069289,0.170828,0.080082,0.133223,0.068541,0.102549,0.083349,0.024702,0.056118,0.024438,0.052377
0.051422,0.023763,0.024718,0.050541,0.058954,0.053878,0.10096,0.069488,0.132743,0.079288,0.132639,0.05615,0.101617,0.083114,0.024255,0.056459,0.02466,0.05191
0.051303,0.023895,0.024845,0.050369,0.059225,0.054593,0.104676,0.068697,0.131346,0.08007,0.135892,0.056071,0.101766,0.083065,0.024712,0.05615,0.024179,0.052301
0.051364,0.024577,0.024909,0.050816,0.059533,0.055001,0.104348,0.068829,0.132181,0.091353,0.131677,0.055997,0.102875,0.083035,0.024429,0.055186,0.024812,0.069465
0.05145,0.023837,0.024754,0.051135,0.059264,0.054949,0.134455,0.068983,0.132005,0.079983,0.131689,0.055583,0.101602,0.082636,0.025216,0.042875,0.02442,0.051825
0.05147,0.024233,0.025245,0.050346,0.059978,0.054706,0.104649,0.068709,0.132538,0.080893,0.132065,0.055827,0.102119,0.083319,0.024385,0.044821,0.02474,0.052597
0.050995,0.023678,0.024909,0.050557,0.059338,0.054651,0.10498,0.069165,0.168564,0.079628,0.130388,0.055769,0.101177,0.083412,0.024994,0.038625,0.024399,0.051798
0.051632,0.02437,0.024995,0.050256,0.059856,0.053897,0.101092,0.069357,0.132621,0.080567,0.129774,0.056126,0.102866,0.082395,0.024952,0.038819,0.024591,0.052231
0.0514,0.023858,0.024956,0.036389,0.059202,0.053631,0.097797,0.101265,0.168954,0.079896,0.12977,0.056122,0.102438,0.08235,0.024761,0.038299,0.02472,0.052457
