Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
7013.46,40873.3,1.34267e+10,595827,205.552,-15.6047,49.7422,306.664,354.474,-1573.57,-1185.15,8.67759,-3.81622,-0.406724,2.0189e+09,180.947,37965.5,358.948
6730.71,46958.1,1.99086e+10,854283,297.333,-17.5952,45.3255,266.327,343.752,-3140.67,-1659.02,8.33308,-3.84134,-0.360472,1.7049e+09,162.12,39231.9,392.484
6334.85,45005.1,1.68838e+10,898720,280.884,-16.4377,45.4538,234.553,356.604,-1655.6,-1422.4,8.94136,-3.85348,-0.592646,1.46767e+09,119.933,44808.3,412.868
6838.42,30477.4,1.78821e+10,739696,256.512,-16.1316,48.4741,296.022,362.389,-4168.7,-2039.81,8.90293,-5.41745,-0.45934,1.32769e+09,164.819,42804.8,500.988
6871.03,42551.8,1.05929e+10,751964,282.486,-15.3741,45.2901,256.744,366.064,-3145.82,-2156.59,8.55531,-4.58507,-0.585027,2.16612e+09,155.985,42082.9,409.914
6774.39,38833.6,1.26914e+10,818692,157.818,-16.4476,51.912,283.693,338.965,-2562.5,-1209.36,8.90071,-5.19932,-0.0645775,8.65003e+08,183.329,40225.3,364.234
6588.82,35404,2.00198e+10,695337,257.451,-15.5766,46.8214,306.82,352.867,-2780.69,-1677.84,8.95889,-4.1834,-0.419952,1.99541e+09,181.09,48329.2,443.841
7338.31,42123.2,2.41741e+10,832024,284.304,-16.4123,46.8432,328.956,302.616,-2049.56,-3104.38,8.57599,-3.73435,-0.231212,1.98092e+09,154.645,37957.5,457.166
6337.98,38639.6,1.23536e+10,718035,248.232,-15.483,48.1943,292.175,337.416,-2045.67,-1438.02,8.82209,-4.51281,-0.293883,1.99563e+09,155.63,38312.8,350.069
7492.85,40660.2,2.01822e+10,846890,219.851,-15.4929,47.8906,259.973,347.098,-2812.06,-2291.76,8.33641,-4.32885,-0.274398,1.35459e+09,180.051,38360.8,365.54
6837.9,29906.6,1.14005e+10,584706,256.881,-16.3958,45.8971,241.985,350.623,-2034.47,-1038.35,8.6047,-4.15114,-0.338929,1.41106e+09,145.973,38021.3,452.854
6862.76,39002.6,1.58021e+10,733877,324.045,-15.605,50.0392,285.635,337.161,-1874.45,-1546.06,8.60142,-3.81509,-0.732507,1.82708e+09,164.831,48134.3,377.16
6562.7,39192.4,1.81334e+10,657313,290.123,-16.761,47.2841,282.685,358.513,-3101.09,-1758.8,8.56369,-5.12521,-0.672493,1.99808e+09,164.785,43728.9,352.984
6804.59,50894.9,1.49567e+10,828010,317.651,-16.8952,51.8913,318.555,321.751,-3217.51,-1496.67,8.5189,-4.45885,-0.723836,1.7094e+09,165.878,48869.8,408.176
