Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
2.2522697e+10,2.4083152e+10,2.1403233e+10,2.8886188e+10,1.9996867e+10,1.8193898e+10,2.2792965e+10,2.6356663e+10,2.0808376e+10,2.3565082e+10,2.2887351e+10,2.4848559e+10,2.563988e+10,2.3646913e+10,2.0023464e+10,2.0523697e+10,2.2669474e+10,3.023208e+10,2.0102337e+10,3.0601724e+10,2.3806205e+10,1.7066185e+10,2.0029854e+10,2.5200243e+10,2.5443813e+10,2.1849341e+10,2.0676728e+10,2.6044721e+10,2.212099e+10,2.4574054e+10,2.3747156e+10,1.1998346e+10,2.08804e+10,2.8029701e+10,2.548937e+10,2.5137997e+10,2.1355362e+10,2.0820224e+10,2.3003986e+10,2.3152905e+10,2.5754554e+10,1.8894849e+10,2.1664609e+10,2.1040612e+10,2.4058987e+10,2.2004999e+10,1.4400187e+10,3.0631291e+10,2.2776826e+10,2.035354e+10
2.2522697e+10,2.4083152e+10,2.1403233e+10,2.8151466e+10,1.9996867e+10,1.8193898e+10,2.0528768e+10,2.6356663e+10,2.0808376e+10,2.3565082e+10,2.2887351e+10,2.4848559e+10,2.1180598e+10,2.3646913e+10,2.0023464e+10,2.0523697e+10,2.2669474e+10,2.1966597e+10,2.0102337e+10,2.5062808e+10,2.3806205e+10,1.7066185e+10,2.0029854e+10,2.478411e+10,2.5248712e+10,2.1849341e+10,2.0676728e+10,2.1779964e+10,2.212099e+10,2.3691549e+10,2.3747156e+10,1.1998346e+10,2.08804e+10,2.8029701e+10,2.5372823e+10,2.5137997e+10,2.1355362e+10,1.7086842e+10,2.3003986e+10,2.3152905e+10,2.3570205e+10,1.8523314e+10,2.0242286e+10,2.0882599e+10,2.4058987e+10,2.2004999e+10,1.3859429e+10,3.0631291e+10,2.1987759e+10,2.0231157e+10
2.2522697e+10,2.3567012e+10,2.1403233e+10,2.8151466e+10,1.9996867e+10,1.8193898e+10,2.0448371e+10,2.6356663e+10,2.0708386e+10,2.3424408e+10,2.2887351e+10,2.4848559e+10,2.1180598e+10,2.3646913e+10,2.0023464e+10,1.3694779e+10,2.2669474e+10,2.1966597e+10,2.0102337e+10,2.1655402e+10,2.1488928e+10,1.7066185e+10,2.0029854e+10,2.3210054e+10,2.2839425e+10,1.8667211e+10,2.0676728e+10,2.1779964e+10,2.212099e+10,2.0445705e+10,2.3627116e+10,1.1998346e+10,2.08804e+10,2.7350587e+10,2.5372823e+10,2.2233754e+10,2.1355362e+10,1.7086842e+10,2.3003986e+10,2.3152905e+10,2.0242801e+10,1.8523314e+10,2.0242286e+10,2.0801662e+10,2.4058987e+10,2.2004999e+10,1.3859429e+10,2.8002647e+10,2.1987759e+10,2.0231157e+10
2.2522697e+10,2.3567012e+10,2.1403233e+10,2.5603752e+10,1.9996867e+10,1.8044845e+10,1.9861935e+10,2.3433961e+10,2.0708386e+10,2.3424408e+10,1.9269131e+10,2.4848559e+10,2.1180598e+10,2.3646913e+10,2.0023464e+10,1.3694779e+10,2.2669474e+10,2.1966597e+10,2.0102337e+10,2.1655402e+10,2.1488928e+10,1.7066185e+10,1.3718725e+10,2.3210054e+10,2.2839425e+10,1.8667211e+10,1.7109853e+10,1.8226759e+10,2.212099e+10,2.0445705e+10,2.3627116e+10,1.1998346e+10,2.08804e+10,2.6249008e+10,2.5372823e+10,2.2233754e+10,2.1355362e+10,1.7086842e+10,2.3003986e+10,2.3152905e+10,2.0242801e+10,1.8523314e+10,2.0242286e+10,2.0801662e+10,2.3399999e+10,2.2004999e+10,1.3859429e+10,2.8002647e+10,1.858095e+10,2.0231157e+10
2.2522697e+10,2.3567012e+10,2.1403233e+10,2.5603752e+10,1.9996867e+10,1.8044845e+10,1.9861935e+10,2.3433961e+10,2.0500338e+10,2.3424408e+10,1.9269131e+10,2.4848559e+10,1.9562444e+10,2.3646913e+10,2.0023464e+10,1.3694779e+10,2.2669474e+10,2.1966597e+10,1.9212082e+10,2.1655402e+10,2.1488928e+10,1.7066185e+10,1.3718725e+10,2.2966277e+10,2.2839425e+10,1.8667211e+10,1.2696654e+10,1.8127559e+10,2.212099e+10,2.0227159e+10,2.2570707e+10,1.1998346e+10,2.08804e+10,2.6249008e+10,2.4750504e+10,2.2233754e+10,2.1355362e+10,1.7086842e+10,2.3003986e+10,2.3110426e+10,2.0242801e+10,1.8523314e+10,2.0242286e+10,2.0801662e+10,2.3399999e+10,2.2004999e+10,1.3859429e+10,2.5944889e+10,1.858095e+10,2.0231157e+10
2.2522697e+10,1.917946e+10,2.1211519e+10,1.9706076e+10,1.9996867e+10,1.8044845e+10,1.9861935e+10,2.1488844e+10,1.9984802e+10,2.3424408e+10,1.9269131e+10,2.4848559e+10,1.9523477e+10,2.3646913e+10,2.0023464e+10,1.3694779e+10,2.2669474e+10,2.1966597e+10,1.9212082e+10,2.1655402e+10,1.9789341e+10,1.7066185e+10,1.3718725e+10,2.2474765e+10,2.1974753e+10,1.8667211e+10,1.2696654e+10,1.8127559e+10,2.212099e+10,2.0227159e+10,2.2570707e+10,1.1401111e+10,2.08804e+10,2.0975442e+10,2.4750504e+10,1.4892831e+10,1.8403115e+10,1.7086842e+10,2.3003986e+10,2.3110426e+10,2.0242801e+10,1.5746256e+10,2.0242286e+10,2.0582368e+10,2.3399999e+10,2.2004999e+10,1.3859429e+10,2.5944889e+10,1.5432785e+10,1.8079053e+10
2.2522697e+10,1.917946e+10,1.9856948e+10,1.9706076e+10,1.9996315e+10,1.8044845e+10,1.9799791e+10,2.1488844e+10,1.4547034e+10,2.2540974e+10,1.8423758e+10,2.4848559e+10,1.9523477e+10,1.8081739e+10,2.0023464e+10,1.3694779e+10,2.2669474e+10,2.1966597e+10,1.9212082e+10,2.1655402e+10,1.5580605e+10,1.7066185e+10,1.3718725e+10,2.2474765e+10,2.1974753e+10,1.669791e+10,1.2696654e+10,1.8126722e+10,2.212099e+10,2.0227159e+10,2.2570707e+10,1.1401111e+10,1.8401458e+10,2.0975442e+10,2.2405196e+10,1.4892831e+10,1.8403115e+10,1.7086842e+10,1.7794878e+10,2.3110426e+10,2.0242801e+10,1.5746256e+10,2.0242286e+10,1.8119331e+10,1.5072471e+10,2.2004999e+10,1.3859429e+10,1.7717964e+10,1.5432785e+10,1.8079053e+10
2.2522697e+10,1.917946e+10,1.4914637e+10,1.9627868e+10,1.9996315e+10,1.8044845e+10,1.904493e+10,2.0964342e+10,1.4415471e+10,2.1809174e+10,1.8423758e+10,2.4403003e+10,1.9523477e+10,1.8081739e+10,1.9731359e+10,1.3694779e+10,2.2669474e+10,1.9872481e+10,1.9212082e+10,2.1655402e+10,1.5580605e+10,1.7066185e+10,1.3718725e+10,1.9579664e+10,2.1699424e+10,1.669791e+10,1.2696654e+10,1.8065826e+10,1.9972165e+10,2.0227159e+10,2.2570707e+10,1.1401111e+10,1.8401458e+10,2.0970512e+10,2.2405196e+10,1.4892831e+10,1.8403115e+10,1.7086842e+10,1.7794878e+10,2.2371519e+10,1.4497751e+10,1.553116e+10,2.0242286e+10,1.8119331e+10,1.5072471e+10,2.1473249e+10,1.3859429e+10,1.7717964e+10,1.5432785e+10,1.8079053e+10
2.2522697e+10,1.8569573e+10,1.4914637e+10,1.9627868e+10,1.9996315e+10,1.8044845e+10,1.904493e+10,2.0799527e+10,1.4415471e+10,2.1311578e+10,1.8423758e+10,2.3761487e+10,1.9523477e+10,1.8081739e+10,1.6852036e+10,1.3694779e+10,2.2669474e+10,1.9872481e+10,1.9212082e+10,2.1655402e+10,1.5530171e+10,1.7066185e+10,1.3718725e+10,1.9579664e+10,2.1699424e+10,1.669791e+10,1.2657495e+10,1.8065826e+10,1.9972165e+10,1.7695451e+10,2.2570707e+10,1.1401111e+10,1.7759868e+10,2.0970512e+10,2.2391389e+10,1.4892831e+10,1.8403115e+10,1.7086842e+10,1.7794878e+10,2.0885205e+10,1.4497751e+10,1.553116e+10,1.5119588e+10,1.8119331e+10,1.5072471e+10,1.5219218e+10,1.2224979e+10,1.7717964e+10,1.5432785e+10,1.8079053e+10
2.017673e+10,1.8569573e+10,1.4239059e+10,1.9627868e+10,1.9996315e+10,1.8044845e+10,1.904493e+10,2.0688341e+10,1.4415471e+10,2.1311578e+10,1.8423758e+10,1.8902051e+10,1.9523477e+10,1.8081739e+10,1.6852036e+10,1.3694779e+10,2.1421661e+10,1.8809953e+10,1.5860398e+10,2.1264425e+10,1.5530171e+10,1.7059311e+10,1.3718725e+10,1.5533479e+10,1.6879603e+10,1.614336e+10,1.2657495e+10,1.8065826e+10,1.2496249e+10,1.7695451e+10,1.64463e+10,1.1401111e+10,1.7759868e+10,2.0970512e+10,2.2391389e+10,1.4805702e+10,1.8403115e+10,1.7086842e+10,1.7794878e+10,2.0885205e+10,1.4497751e+10,1.0982161e+10,1.3153437e+10,1.8119331e+10,1.5072471e+10,1.4745129e+10,1.2224979e+10,1.7717964e+10,1.5432785e+10,1.8079053e+10
