Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
-7.2698802,-7.6767451,-7.4426085,-7.3433383,-8.2289094,-7.8370228,-8.0175945,-7.5486278,-8.1684528,-7.4431397,-7.7194121,-7.807762,-7.0415499,-8.7711161,-7.9842738,-8.2704894,-7.1307514,-8.3127324,-8.353455,-8.6952029,-8.0505226,-7.6461875,-7.4545077,-7.246014,-7.6257767,-8.2404234,-7.8746034,-8.0874892,-7.1299303,-8.4132765,-8.8104412,-7.7513272,-9.614846,-8.1521944,-7.6392845,-8.6670638,-6.9337938,-8.6807181,-8.8463397,-7.7385809,-7.2646551,-7.7160723,-7.586178,-7.8641104,-7.8582037,-8.1284381,-8.7308334,-8.633613,-7.4346281,-7.5654713
-7.3359991,-7.6767451,-7.4426085,-7.5537694,-8.4894708,-7.8370228,-8.3128985,-7.5486278,-8.1684528,-8.0004294,-8.0363989,-7.807762,-9.1543571,-8.7711161,-8.2573397,-8.2704894,-7.1307514,-8.3127324,-8.353455,-8.6952029,-8.5652203,-7.6461875,-7.4545077,-8.3976891,-7.6397575,-8.2404234,-7.8746034,-8.0874892,-7.6964104,-8.4132765,-8.8104412,-8.9384615,-9.614846,-8.1521944,-8.0826027,-8.6670638,-7.7078902,-8.6807181,-8.8463397,-7.7385809,-8.1303834,-9.8209191,-7.7088111,-9.1516304,-8.4950486,-8.2283091,-8.7308334,-8.633613,-7.8731396,-7.5654713
-9.3656761,-7.6767451,-9.5446047,-8.2680915,-8.7814534,-7.934086,-8.3128985,-7.7595274,-8.1684528,-8.2847649,-8.342489,-7.807762,-9.1543571,-8.7711161,-8.8752495,-8.2704894,-7.6973278,-8.3127324,-9.5406019,-8.6952029,-8.5652203,-7.8935898,-8.2084946,-8.3976891,-8.7888496,-8.4945939,-7.9774261,-8.0874892,-8.4438259,-8.4132765,-9.4399998,-8.9384615,-9.614846,-8.1521944,-8.9950058,-8.6670638,-8.2875192,-8.6807181,-8.8463397,-9.1060098,-8.1303834,-9.8209191,-8.8254562,-9.1516304,-8.6462551,-8.2283091,-8.7308334,-8.633613,-7.8731396,-8.5007062
-9.3656761,-7.6767451,-9.5446047,-8.4981808,-8.7814534,-8.7027475,-8.5412292,-7.7595274,-8.1684528,-10.592418,-8.4451843,-7.807762,-9.1543571,-8.7711161,-8.8752495,-8.2704894,-7.6973278,-8.3127324,-9.5406019,-8.6952029,-8.5652203,-9.1849817,-9.5326578,-8.4152347,-8.7888496,-8.4945939,-8.0255385,-9.6748078,-8.4438259,-8.4132765,-9.4399998,-10.523339,-9.614846,-8.5337055,-8.9950058,-8.6670638,-8.2875192,-9.8694444,-8.8463397,-9.1060098,-8.8160737,-9.8209191,-8.9400841,-9.1516304,-9.0931572,-8.2283091,-8.7308334,-9.1126779,-7.8731396,-8.5007062
-9.3656761,-7.9569036,-9.5446047,-8.4981808,-8.7814534,-8.7028951,-8.8593669,-8.2055945,-10.086568,-10.592418,-8.7135873,-7.807762,-9.4776337,-8.7711161,-8.9405749,-8.2704894,-7.6973278,-8.3127324,-9.5406019,-8.6952029,-8.5652203,-9.1849817,-9.5326578,-8.6473271,-8.7888496,-8.4945939,-8.0255385,-9.6748078,-8.4438259,-9.0545652,-9.4399998,-10.523339,-10.251443,-8.5337055,-8.9950058,-8.6670638,-8.4534814,-9.8694444,-8.8463397,-9.1060098,-9.9396566,-9.8209191,-8.9400841,-9.1516304,-9.0931572,-8.2283091,-8.8547063,-9.1126779,-8.2674801,-9.4465226
-9.3656761,-7.9569036,-9.5446047,-8.4981808,-8.7814534,-8.9964591,-8.8593669,-8.2055945,-10.086568,-10.592418,-8.7135873,-9.0811421,-9.4776337,-8.7711161,-9.264942,-8.2704894,-8.8730657,-8.3127324,-9.5406019,-8.7840983,-8.5652203,-9.5545519,-9.5326578,-8.7215992,-8.8277427,-8.4945939,-8.4832492,-9.6748078,-8.6788469,-9.3468609,-9.5203073,-10.523339,-10.251443,-8.5337055,-8.9950058,-8.6670638,-8.4534814,-9.9395666,-8.8463397,-11.156101,-10.174149,-9.8209191,-8.9400841,-9.1516304,-9.0931572,-9.2390431,-8.8547063,-10.234286,-8.2674801,-9.4465226
-9.3656761,-9.1097689,-9.5446047,-9.2625307,-9.41886,-8.9964591,-9.4327903,-8.4646227,-10.086568,-10.592418,-8.7451858,-9.0811421,-9.4776337,-8.7711161,-9.264942,-9.3205458,-8.8730657,-8.3127324,-9.5406019,-8.795848,-8.7961807,-9.5545519,-9.5326578,-8.7215992,-8.8277427,-8.4945939,-8.4832492,-9.6748078,-8.6788469,-9.4202276,-9.5203073,-10.523339,-10.251443,-8.5337055,-12.773419,-8.6670638,-8.9459875,-9.9395666,-8.9643106,-11.156101,-10.174149,-9.8209191,-8.9400841,-9.1516304,-9.0931572,-9.2390431,-8.8547063,-11.534565,-8.4897693,-9.4465226
-9.3656761,-9.1097689,-9.5446047,-9.2625307,-9.41886,-8.9964591,-9.4327903,-8.4646227,-10.086568,-10.592418,-8.7451858,-9.0811421,-9.4776337,-8.8234286,-9.264942,-9.3205458,-9.3297443,-8.3775774,-9.5406019,-8.8770333,-8.7961807,-9.5545519,-9.5326578,-8.7215992,-8.8277427,-8.4945939,-8.9145537,-9.6748078,-8.6788469,-9.4202276,-9.5203073,-10.523339,-10.251443,-8.5337055,-12.773419,-9.2605059,-8.9459875,-9.9395666,-8.9643106,-11.156101,-10.174149,-9.8209191,-8.9400841,-9.3272409,-9.9135878,-9.2390431,-8.8547063,-11.534565,-8.4897693,-9.4465226
-9.3656761,-9.5563129,-9.5446047,-9.2625307,-9.41886,-8.9964591,-9.4327903,-8.4646227,-10.086568,-10.592418,-10.671868,-9.0811421,-10.508315,-9.6976365,-9.5843275,-9.3205458,-9.3297443,-9.3856853,-9.5666467,-8.8770333,-9.4000548,-9.5545519,-9.6560668,-9.656796,-10.315467,-8.9272236,-8.9145537,-9.9593067,-8.6788469,-9.4994368,-9.873943,-10.523339,-10.251443,-8.5337055,-12.773419,-9.2605059,-9.4185025,-9.9395666,-8.9643106,-11.156101,-10.174149,-9.983614,-9.6921228,-9.3272409,-9.9135878,-9.2390431,-8.8547063,-11.534565,-8.7581333,-9.4465226
-10.1021,-9.5563129,-9.5743651,-9.2625307,-10.084466,-9.8065223,-9.4644811,-8.4646227,-10.086568,-10.592418,-10.671868,-9.3512097,-10.508315,-9.6976365,-9.5843275,-9.3205458,-9.6489646,-9.5943216,-9.5666467,-8.8770333,-9.4000548,-9.6539163,-9.6560668,-9.656796,-10.315467,-8.9819987,-8.9145537,-9.9593067,-9.094277,-9.4994368,-9.873943,-10.523339,-10.251443,-8.5391948,-12.773419,-9.2900405,-9.4185025,-10.396622,-8.9643106,-11.156101,-10.174149,-9.983614,-9.6921228,-9.3272409,-9.9135878,-9.2390431,-8.8547063,-11.534565,-8.7581333,-9.4465226
