Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
77.744577,41.545118,40.626166,65.552343,38.622059,54.47485,70.219113,41.545512,41.506799,44.696299,42.434124,41.632994,42.185955,45.159396,42.684978,77.697093,41.081397,42.192655,50.620267,42.011528,42.490663,43.973786,42.322677,41.653678,42.248219,42.29824,44.905271,43.25373,45.039402,69.856952,42.381864,41.239645,42.051723,42.060286,55.320526,41.730887,51.45152,42.043888,41.779301,42.295074,41.824863,42.237266,66.37959,48.856685,42.477893,41.002887,44.873622,39.627023,41.908574,35.566972
24.015615,40.718422,25.140662,37.859637,23.719539,30.530656,20.742079,23.710471,23.166411,23.413781,23.635423,24.402736,24.962462,23.676016,29.823244,27.928518,29.732092,26.796726,23.59599,25.071997,23.912467,23.679327,22.902733,25.604527,23.628309,44.66935,23.737119,32.514532,23.665852,23.709521,22.42657,24.715114,23.582726,23.65289,23.574819,23.673095,23.6629,23.082375,31.579043,23.60631,24.486135,23.702699,23.579467,23.677394,25.016252,23.483906,19.333149,20.525494,19.765524,18.782816
25.366407,26.115753,24.759417,23.539111,24.242859,33.703567,36.796104,47.945651,23.991802,24.687365,24.576534,41.732454,28.536553,26.17454,25.882926,24.220229,24.607385,24.541262,27.77198,31.300241,24.946559,24.814581,26.199975,24.140429,24.679498,24.655007,25.55463,25.06054,48.327709,24.538697,26.458349,23.822392,24.6592,24.681045,25.508809,25.056578,24.656152,24.23479,25.324059,24.679411,24.673849,24.622318,32.801735,25.644195,24.555281,23.694878,22.474455,23.008352,24.643462,20.982203
50.534312,46.230527,57.426426,41.172774,42.256526,42.396335,90.366995,49.800948,42.384799,42.234259,42.345796,50.616939,42.257459,42.385186,42.193234,42.468133,42.237027,42.39752,84.591561,42.332637,49.868064,48.570514,42.25183,42.414255,42.221209,42.350463,42.273049,42.369131,49.999759,42.228273,42.413198,42.26488,42.381354,76.339675,42.2399,42.378342,50.530366,79.140419,42.410699,42.226618,42.418807,42.278035,42.272946,47.500026,42.358325,42.265476,44.692496,41.674478,40.681849,35.105524
61.3162,55.92513,43.693073,46.596935,47.380649,59.974174,61.354482,62.488066,46.227864,46.050302,46.569777,54.989287,47.860724,75.17966,46.905385,62.964584,45.884948,45.923564,46.55288,47.721499,46.686636,57.449323,66.455632,45.208274,55.226795,46.333715,46.615134,46.878849,47.616657,50.64184,46.384718,46.199827,46.702271,64.372218,57.121622,48.748986,47.768525,49.992035,46.420717,46.479722,46.757004,46.767843,47.676646,47.418094,48.681024,47.352131,42.912371,41.026911,43.729879,34.30347
49.815559,43.366111,47.273114,42.599388,48.680151,43.167798,67.189317,43.444848,43.255606,43.392465,43.353605,43.737107,45.446717,53.629514,43.454694,77.533799,43.216167,43.448705,43.26614,43.292697,43.965504,43.383392,44.421746,43.313737,43.293787,43.406061,43.406255,44.39279,43.411855,70.666871,44.690657,42.935349,43.24691,43.631274,43.526217,47.045544,43.440181,62.394211,43.05203,65.138161,43.275772,43.394094,43.352979,43.397254,46.300159,43.858222,42.27958,37.854912,43.380035,41.991282
86.873716,86.580359,135.03636,87.260376,97.022107,114.22789,87.409184,87.070141,86.642037,86.615874,86.529565,86.91853,86.860266,88.238642,113.60106,136.65106,86.643902,86.562454,85.797793,86.895728,86.931118,121.70972,94.570129,86.542617,86.576526,86.607258,86.895433,86.826385,99.015912,98.399395,87.676104,86.665544,86.608416,86.619102,86.950071,86.969365,87.718796,86.72402,87.203861,86.628238,86.642989,86.66649,86.914133,86.870222,87.761443,78.069705,86.988461,80.754672,64.710574,64.836337
56.972246,72.827184,56.758061,56.718998,58.193064,56.976889,53.84291,97.826913,56.416464,56.562015,56.594294,60.040385,73.332515,54.804801,56.110208,56.392358,56.378644,72.128511,56.582509,84.987954,57.983997,56.575107,59.111777,56.417801,56.33901,56.867982,57.25033,56.683772,54.40065,58.390826,125.89173,56.383733,56.395964,56.802015,56.593563,54.391291,56.570733,58.890234,56.410071,56.423476,56.543083,56.782793,56.480217,56.595855,55.075266,61.288207,56.337348,55.189829,55.912621,54.477592
123.84315,106.54694,147.6514,102.06322,111.38073,124.14193,107.82044,177.29569,104.1924,106.94317,110.83179,107.60418,107.13053,120.6477,130.00398,157.27435,105.59777,107.13125,112.82676,107.10388,107.68237,110.42457,116.23712,164.7978,107.20267,106.98676,107.17424,107.75714,103.62628,107.77173,110.33235,107.33256,106.87531,107.04886,107.51985,107.78381,107.94526,107.37025,108.80637,107.30698,107.1135,107.25182,107.61513,107.68069,107.84799,100.48809,105.64902,86.906909,91.295675,80.487217
78.360801,62.321506,64.245755,80.581694,61.922026,63.015585,62.101438,96.762349,63.054899,75.169143,62.684335,62.996436,62.838458,68.561998,63.241789,108.81894,62.817513,62.663512,62.948951,62.788436,62.459687,62.904327,64.649487,62.818688,62.657879,63.04568,62.871341,70.336664,65.492784,66.219344,130.36156,62.840314,62.629091,63.031178,62.830975,62.114196,63.088022,64.965117,62.510802,62.599741,63.021997,62.895478,61.638292,71.707485,67.996248,80.108725,56.638925,56.969895,62.927362,62.730325
