Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
0.070013,0.023299,0.024221,0.049657,0.03678,0.032218,0.106622,0.043008,0.071896,0.046893,0.058685,0.028494,0.062942,0.035344,0.021484,0.029157,0.021163,0.038707
0.04608,0.021066,0.020669,0.030577,0.036904,0.034661,0.04325,0.038025,0.071986,0.044167,0.0345,0.026358,0.062185,0.040093,0.02099,0.028279,0.029239,0.028244
0.029067,0.033803,0.020682,0.029385,0.034601,0.032333,0.041645,0.035871,0.070298,0.042328,0.036392,0.02631,0.061446,0.037005,0.021374,0.028068,0.020822,0.026655
0.02704,0.019982,0.020909,0.027482,0.035344,0.06958,0.041527,0.035647,0.069912,0.045654,0.034412,0.026847,0.059818,0.037578,0.020729,0.032083,0.023506,0.027076
0.02719,0.024473,0.021316,0.027298,0.034987,0.036133,0.043102,0.035755,0.069869,0.045783,0.03451,0.026327,0.060164,0.034948,0.020836,0.030293,0.020622,0.026924
0.05951,0.023344,0.023964,0.027346,0.098659,0.035951,0.041633,0.038321,0.072234,0.042746,0.039223,0.026317,0.063161,0.034989,0.021645,0.028427,0.02262,0.026796
0.02774,0.02399,0.020824,0.027111,0.036019,0.034477,0.041629,0.036052,0.070587,0.042621,0.034735,0.043668,0.063304,0.046093,0.021243,0.028003,0.021152,0.026831
0.026958,0.020859,0.038397,0.028842,0.03795,0.032621,0.041438,0.035793,0.070323,0.043172,0.034462,0.027911,0.072385,0.0369,0.022913,0.029834,0.020695,0.026777
0.028913,0.023878,0.021232,0.026897,0.039969,0.032781,0.041123,0.035696,0.069307,0.042725,0.036344,0.026186,0.061064,0.034758,0.021207,0.030137,0.020262,0.027009
0.030433,0.021103,0.020996,0.027572,0.037816,0.032043,0.041423,0.035761,0.074807,0.043191,0.03428,0.03448,0.062183,0.034924,0.033267,0.035691,0.020994,0.02728
0.032204,0.021279,0.022997,0.029936,0.035101,0.034325,0.041648,0.048109,0.069564,0.042567,0.034509,0.026419,0.060254,0.039201,0.022109,0.035038,0.020488,0.030386
0.027012,0.021058,0.020885,0.064368,0.034727,0.032423,0.044092,0.036158,0.070038,0.044733,0.036824,0.026375,0.059899,0.046476,0.02348,0.035623,0.020808,0.026912
0.026952,0.024082,0.023598,0.030475,0.035537,0.032905,0.041548,0.035829,0.072103,0.04343,0.035058,0.026895,0.060762,0.045638,0.020794,0.038426,0.035947,0.026943
