Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
11.9086,0.371509,0.030717,0.349872,2156.47,0.332344,28.8767,0.910856,0.508045,11.1302,24.4462,0.034529,0.082619,0.055444,0.013495,2.20156,0.066344,0.021768
4.70216,0.162498,0.025337,0.059229,2068.6,0.057274,6.60196,0.57962,0.802163,8.4465,0.388224,0.033677,0.066583,0.252404,0.013079,1.14451,0.067847,0.024443
5.49791,0.352429,0.025683,0.058961,1982.09,0.057449,2.99371,0.892347,0.229583,16.1992,9.49779,0.033544,0.065784,2.85193,0.013194,1.7509,0.055721,0.021613
6.51096,0.183724,0.026329,0.058406,2110.52,0.056768,2.43216,0.421892,0.373279,15.2403,14.3884,0.033887,0.06707,33.1893,0.013265,2.03288,0.05866,0.024704
6.22697,0.205736,0.025452,0.058903,2030.08,0.066187,74.6499,0.531686,0.371134,17.7329,32.1311,0.039004,0.06637,0.210445,0.013043,2.22977,0.070117,0.027518
7.82838,0.37997,0.0258,0.058785,2017.42,0.057255,42.3531,0.389921,0.282439,11.5539,81.4415,0.03391,0.066764,0.311231,0.01317,2.02146,0.058143,0.021376
4.86845,0.165915,0.025143,0.058749,1848.22,0.057489,19.5266,0.25357,0.253499,4.23733,0.390036,0.033802,0.065563,0.038615,0.013246,1.21153,0.057845,0.021469
4.98106,0.31472,0.025758,0.058961,1984.3,0.057473,17.4391,0.242639,0.160706,7.61972,13.336,0.033809,0.065937,2.67728,0.01305,2.24051,0.066558,0.021699
4.08434,0.36837,0.025298,0.059125,2035.9,0.057446,2.2039,0.500327,0.273319,20.8355,14.9859,0.033412,0.06607,49.6718,0.013046,1.86706,0.068053,0.036937
4.36367,0.368131,0.025387,0.059271,1964.04,0.057564,1.70431,0.207551,0.29113,26.182,19.1743,0.033545,0.065723,0.168899,0.013213,1.68811,0.057315,0.02452
3.9758,0.334209,0.025355,0.058858,2029.31,0.065801,7.78151,0.270548,0.160611,13.7813,60.5253,0.033411,0.071647,0.3696,0.013172,2.30532,0.062312,0.021944
3.98659,0.320702,0.025521,0.058162,1955.52,0.057469,1.39775,0.271097,0.494053,15.9809,12.9124,0.033629,0.080726,3.84851,0.013243,2.62115,0.059173,0.021634
4.46121,0.283163,0.029863,0.064348,2027.76,0.061398,23.5808,0.369845,0.218289,24.6112,127.943,0.033928,0.065745,0.07406,0.012956,2.06688,0.06803,0.030444
3.71172,0.152802,0.025205,0.059697,1982.63,0.06613,3.18584,0.369217,0.270063,6.40452,9.33887,0.033774,0.065697,0.038728,0.012975,1.2904,0.068218,0.021662
5.29483,0.097294,0.025558,0.059695,1954.55,0.057583,8.24644,0.236321,0.27294,20.4792,8.40608,0.033713,0.079908,0.168892,0.013315,2.23869,0.056121,0.021492
