Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
0.192475,0.031075,0.022763,0.04673,0.051826,0.031045,0.098657,0.064104,0.09537,0.055316,0.090369,0.04035,0.074786,0.058831,0.017979,0.040036,0.01781,0.022152
0.163192,0.030802,0.022579,0.04619,0.051704,0.044886,0.075965,0.063062,0.09874,0.055227,0.093535,0.039833,0.077537,0.059649,0.018766,0.039779,0.017333,0.0223
1.73723,0.03142,0.022798,0.047134,0.052622,0.045332,0.098461,0.064061,0.099143,0.054961,0.093024,0.03913,0.078363,0.059742,0.018614,0.040197,0.01721,0.022628
0.213472,0.021467,0.022689,0.046514,0.051831,0.044989,0.098639,0.06335,0.098937,0.054043,0.092158,0.039668,0.077078,0.059376,0.01866,0.039934,0.01717,0.022317
0.040368,0.022164,0.015478,0.032695,0.052926,0.044959,0.097491,0.062477,0.09923,0.052158,0.089289,0.039526,0.077718,0.058738,0.018888,0.039421,0.017086,0.021928
0.119315,0.02112,0.023117,0.04631,0.051774,0.046747,0.098339,0.05861,0.09843,0.05452,0.091939,0.039152,0.076699,0.059954,0.0182,0.039564,0.040579,0.021795
0.040186,0.021984,0.022852,0.045635,0.038285,0.030388,0.097881,0.04293,0.097994,0.054195,0.088792,0.039491,0.076514,0.05777,0.017786,0.039654,0.039978,0.021858
0.182926,0.021421,0.022443,0.030743,0.051999,0.045448,0.072698,0.069235,0.091486,0.054327,0.090917,0.039067,0.073489,0.059251,0.017727,0.039642,0.054033,0.021976
0.037863,0.021808,0.023151,0.045638,0.038379,0.04474,0.097512,0.06798,0.110624,0.053791,0.09153,0.038957,0.076127,0.058973,0.017667,0.03973,0.02479,0.021797
0.037175,0.021525,0.014855,0.046337,0.051162,0.044609,0.097839,0.067887,0.113205,0.054205,0.091177,0.038643,0.076401,0.059594,0.017449,0.039525,0.024167,0.022062
0.03661,0.021567,0.022984,0.046994,0.052212,0.044624,0.098045,0.050316,0.113655,0.13912,0.088913,0.039632,0.075173,0.059283,0.018129,0.039309,0.023469,0.021743
0.038378,0.021059,0.022642,0.046534,0.052644,0.04523,0.097673,0.050139,0.114057,0.05442,0.091351,0.039189,0.075926,0.059035,0.01789,0.039333,0.022739,0.021634
0.037975,0.022074,0.02289,0.045937,0.052407,0.029981,0.098476,0.0506,0.116715,0.05452,0.088351,0.039395,0.076377,0.05943,0.017942,0.039073,0.022858,0.021898
0.036876,0.021002,0.022671,0.046034,0.05208,0.045367,0.097623,0.047204,0.120596,0.498468,0.090977,0.039131,0.076371,0.057353,0.017959,0.039004,0.019395,0.021969
0.037112,0.022049,0.014517,0.031142,0.038013,0.045109,0.072398,0.049677,0.093097,0.054608,0.100789,0.039007,0.077149,0.058249,0.017665,0.039172,0.010545,0.022054
0.037416,0.021791,0.022975,0.045663,0.052039,0.030456,0.097438,0.049874,0.130528,0.053881,0.102318,0.039518,0.075928,0.059098,0.017644,0.039918,0.010153,0.022332
0.03595,0.021744,0.022711,0.045623,0.05143,0.044682,0.098148,0.049767,0.128727,0.05417,0.100122,0.038729,0.075902,0.059376,0.017974,0.039349,0.010337,0.022226
0.036815,0.021057,0.022283,0.046426,0.051713,0.045029,0.097555,0.050347,0.128396,0.052027,0.113415,0.039507,0.074748,0.059026,0.018081,0.039355,0.010588,0.021988
0.037644,0.021391,0.022624,0.046192,0.051585,0.044656,0.097426,0.049853,0.127663,0.054112,0.104155,0.039029,0.075707,0.05929,0.017753,0.039059,0.010659,0.022367
0.037587,0.021395,0.015098,0.046265,0.051672,0.044954,0.0981,0.049347,0.125528,0.054063,0.103816,0.039718,0.076315,0.060021,0.017852,0.039184,0.010588,0.021904
0.03697,0.022014,0.022913,0.031407,0.052942,0.044902,0.071992,0.0496,0.121947,0.054964,0.103335,0.039238,0.079023,0.056973,0.017761,0.038842,0.010197,0.021803
0.037153,0.021712,0.02241,0.045667,0.03813,0.030112,0.097411,0.04949,0.101604,0.054215,0.102233,0.039126,0.076284,0.059154,0.017427,0.039122,0.010744,0.021738
0.034957,0.022161,0.022975,0.031609,0.052075,0.045318,0.097113,0.049482,0.097281,0.051002,0.100245,0.039299,0.076119,0.05946,0.017578,0.039418,0.010456,0.022069
0.03733,0.021121,0.023069,0.045794,0.051555,0.04481,0.072694,0.049194,0.097043,0.054454,0.090671,0.038738,0.151274,0.059501,0.018575,0.038778,0.010591,0.022166
0.037056,0.021674,0.014592,0.046327,0.052612,0.045145,0.098199,0.049326,0.096939,0.052843,0.091229,0.039075,0.074865,0.059619,0.017972,0.039158,0.010624,0.021763
0.03697,0.021641,0.023201,0.046033,0.052907,0.045104,0.098033,0.049552,0.098182,0.053698,0.088104,0.039587,0.075894,0.058957,0.017882,0.039139,0.010637,0.021764
0.037284,0.02195,0.022695,0.046028,0.039052,0.04459,0.097568,0.049552,0.097317,0.054403,0.089586,0.039553,0.075951,0.056995,0.017976,0.038996,0.010729,0.02206
0.047309,0.022223,0.0224,0.046463,0.052992,0.045548,0.098073,0.050342,0.092472,0.054537,0.091458,0.039318,0.078478,0.058881,0.017609,0.038671,0.0102,0.022089
0.048326,0.021763,0.022983,0.046048,0.052719,0.030872,0.097146,0.050091,0.097542,0.051976,0.090308,0.038633,0.080102,0.058332,0.0175,0.060365,0.010248,0.021312
0.137945,0.021331,0.014892,0.030639,0.051109,0.045658,0.071708,0.049854,0.096669,0.054174,0.09021,0.039204,0.076156,0.057779,0.017316,0.060116,0.01057,0.018219
