Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
54.8306,0.463239,0.028236,0.076069,47740.4,0.084422,28.0778,1.80775,1.6502,42.6596,516.895,0.090755,0.203236,0.331528,0.026904,88.9287,0.222779,0.123662
66.1456,1.00534,0.02758,0.077279,51073.1,0.081355,169.843,9.33307,1.24674,371.534,2607.42,0.088016,0.191618,17906.6,0.032646,22.6383,0.297048,0.145772
181.923,0.958492,0.026812,0.075284,57527.7,0.080337,209.745,7.12476,0.995974,1024.28,0.634008,0.118595,0.19082,8.37492,0.025778,89.7607,0.217382,0.072538
174.52,0.966752,0.026208,0.077357,48733.8,0.080665,520.07,3.18565,1.23758,147.432,16.0492,0.091931,0.270792,0.754876,0.025838,18.9008,0.300308,0.121803
67.0486,0.976109,0.026611,0.083683,54129.5,0.088242,14.5644,1.81019,1.71186,755.958,2246.45,0.088211,0.190715,3.21407,0.025629,6.16369,0.302452,0.145314
118.113,0.972321,0.028748,0.07595,53118.3,0.081055,336.189,8.8639,2.11517,494.456,2616.22,0.088122,0.193892,32.0104,0.025559,31.6603,0.216475,0.122637
67.4049,0.341787,0.027748,0.076141,52048.4,0.080994,217.632,1.62222,1.61019,1.44203,545.375,0.088645,0.19223,14.1966,0.025665,9.90334,0.307484,0.072739
154.043,1.02299,0.026627,0.075701,54710,0.080629,118.174,1.29243,1.96025,650.168,1756.58,0.08846,0.190762,0.397735,0.025813,87.5961,0.303984,0.168552
58.5998,0.388302,0.027364,0.076804,48710.2,0.080532,40.3734,1.9876,1.48148,795.75,3589.51,0.088285,0.190555,1.11728,0.025876,87.4744,0.2222,0.168828
78.1727,0.987194,0.026432,0.076219,49715.5,0.081735,1969.22,1.43431,1.3677,452.611,2528.42,0.088541,0.190107,235.802,0.027288,88.3481,0.223244,0.193476
77.59,1.02032,0.036769,0.075645,53899,0.081169,72.6867,1.12007,0.997451,757.456,687.708,0.089065,0.190261,0.148799,0.025687,86.4093,0.222251,0.117326
226.69,0.980068,0.027466,0.080388,46479.9,0.081583,469.54,7.08239,380.476,1655.25,7643.03,0.090415,0.190345,0.693823,0.025764,88.4527,0.304298,0.121916
140.478,0.361189,0.026656,0.075746,45036.9,0.083915,111.336,7.25032,2.07374,1818.56,434.202,0.088465,0.183992,1472.67,0.025937,91.1265,0.225818,0.145039
96.1868,0.975611,0.0272,0.075945,44046.7,0.107199,51.2007,1.96702,1.84025,1120.57,1959.7,0.088724,0.199702,8.40873,0.025878,21.7064,0.299672,0.144743
65.6709,0.330368,0.026482,0.075101,46976.4,0.08215,624.207,2.13327,2.09429,242.087,5103.93,0.088069,0.188771,14.8144,0.025675,89.6102,0.227593,0.076873
67.5009,0.96713,0.026675,0.07549,41146.7,0.081346,103.901,8.03095,0.875977,399.419,1728.11,0.088793,0.191041,40.2161,0.025704,86.5061,0.304716,0.094696
69.4663,1.01843,0.02843,0.076304,45514.7,0.080482,125.126,1.88565,1.72651,220.44,0.33866,0.090859,0.190454,95.4732,0.025939,85.0827,0.228715,0.078897
67.3676,0.86794,0.028102,0.080159,48328.6,0.083033,58.8125,7.22672,2.20861,972.124,0.633719,0.118974,0.191246,0.211528,0.027807,21.0158,0.219009,0.144571
182.604,1.02516,0.026432,0.076018,40820.4,0.082369,39.1542,1.70539,1.6033,238.099,1246.94,0.088265,0.191048,0.816562,0.025706,66.081,0.226759,0.0723
172.765,1.00456,0.027492,0.078713,46294.6,0.082343,197.932,2.03159,1.60613,448.697,68.6997,0.090036,0.188992,22.0328,0.025674,83.988,0.222621,0.099756
81.6463,0.358291,0.027626,0.078585,48669.1,0.082712,167.995,4.52873,1.73747,495.738,16.7409,0.088639,0.191874,1.4959,0.024263,87.7168,0.228918,0.072675
75.1342,1.04095,0.026493,0.076241,50115,0.08228,2.20828,3.27735,1.47226,406.972,7853.03,0.088752,0.195043,0.953614,0.025438,82.3261,0.22322,0.166343
169.871,0.32421,0.026317,0.076399,50757.3,0.081152,1810.49,7.08156,1.60989,2367.77,9.61917,0.088776,0.190654,0.45619,0.025965,89.1793,0.310334,0.118576
201.035,0.304713,0.026719,0.081788,42953.9,0.080655,735.733,2.84415,5.84877,1358.38,1827.66,0.088499,0.189824,0.701581,0.025522,88.1478,0.221907,0.121504
65.1651,0.338073,0.026646,0.07661,47930.7,0.082848,358.013,2.44808,1.48476,452.977,21.3373,0.087978,0.191062,1.73734,0.023972,34.9525,0.310986,0.145318
73.4449,0.995408,0.037377,0.075316,48982.5,0.081053,4803.42,6.41962,1.24342,421.797,0.437151,0.088151,0.191059,0.757451,0.028492,84.4946,0.23281,0.122394
84.7368,0.456872,0.031356,0.075484,50791.8,0.081055,14.8358,8.4346,1.21953,212.515,103.073,0.08869,0.191281,3.523,0.02598,80.4575,0.223681,0.074605
82.251,0.955567,0.026388,0.077884,49227.8,0.08105,346.452,1.35056,1.36766,267.052,1382.92,0.089411,0.193923,1.18401,0.026128,83.5544,0.302907,0.122387
64.4026,0.329849,0.027191,0.076529,43928.7,0.109796,2924.02,2.21571,1.11149,487.48,4000.66,0.088454,0.191444,16329.4,0.02595,90.6916,0.227228,0.07738
181.463,0.315036,0.026535,0.079148,43314,0.08329,1571.08,1.74891,2.33561,269.694,2678.15,0.118586,0.193811,0.513386,0.025998,88.3454,0.230328,0.143643
