Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
6711.94,45679.8,1.94031e+10,811156,263.385,-15.5158,46.9142,321.773,330.812,-3981.52,-2949.56,8.72849,-6.60795,-0.631265,2.21444e+09,103.33,44777.9,432.1
7276.45,37001,1.37105e+10,687514,234.306,-15.4156,38.693,309.185,355.082,-3346.99,-1684.57,9.08041,-4.47292,-0.91049,1.1471e+09,115.433,40519.1,439.36
6220.14,39034.2,1.60976e+10,827935,284.883,-15.2892,51.1846,289.573,350.383,-2365.52,-1801.15,8.83709,-4.15798,-0.808411,1.88037e+09,134.524,41942.9,410.707
6370.24,47926.1,8.64541e+09,735867,270.583,-15.1614,48.6606,264.263,336.581,-1632.17,-1282.76,8.71592,-4.51767,-0.294981,1.30765e+09,151.619,46023.5,428.749
6239.61,43848,1.37134e+10,686426,297.765,-16.8295,43.3513,315.543,348.808,-2347.15,-1656.9,8.9501,-3.23216,-0.575707,2.11839e+09,194.094,44876.6,421.783
6226.51,36188.9,1.59069e+10,426471,266.57,-15.9692,50.5385,201.932,361.539,-3461.67,-1708.49,8.84475,-4.75318,-0.294035,1.22265e+09,127.752,38970.6,346.162
6609.18,29415.5,1.68502e+10,762153,319.229,-16.1021,45.2411,293.431,356.933,-2459.1,-2094.35,8.90724,-3.66556,-0.276435,1.41541e+09,103.889,47310.8,491.646
6453.74,35691.2,2.35925e+10,757184,237.932,-15.2266,50.843,275.392,317.321,-2254.38,-1526.8,8.74578,-3.72308,-0.355996,1.82014e+09,185.173,44842.6,362.953
6043.18,29284.6,8.67815e+09,812794,237.205,-15.7889,43.4508,311.498,324.673,-2890.57,-2274.28,8.65129,-4.14607,-0.721601,1.6025e+09,160.308,45102.5,345.403
6348.39,44364.2,2.05244e+10,929766,279.195,-15.5656,49.38,278.174,346.608,-3131.14,-1781.75,8.63933,-3.71939,-0.659675,1.5621e+09,127.088,47090.2,441.025
6911.84,43280.9,1.38651e+10,590296,324.392,-17.1248,46.6447,248.458,331.271,-2698.47,-1517.95,8.41678,-3.30531,-0.898958,1.6545e+09,150.824,38370.3,443.027
6075.23,38030.5,1.35105e+10,803641,263.015,-16.2934,44.4857,274.631,364.093,-3086.21,-1475.59,8.5748,-4.41459,-0.239117,1.41098e+09,187.358,29280.4,429.228
7346.18,41740.5,9.72512e+09,596527,299.852,-16.3914,56.1451,224.204,346.584,-3067.12,-2147.23,8.51918,-4.73957,-0.73761,1.44892e+09,139.501,43836.4,391.615
7082.09,35547.1,1.7583e+10,731247,265.751,-15.9549,44.4121,276.113,348.331,-2294.99,-1145.69,9.0198,-4.96556,-0.065242,1.31679e+09,103.453,39096.3,530.957
6251.24,33996.7,1.14229e+10,776862,281.787,-15.7732,48.7264,199.855,341.79,-4725.63,-1592.28,8.74358,-3.98027,-0.53511,1.60502e+09,165.971,31938.9,359.411
6110.41,38631.9,2.57358e+10,875853,243.914,-14.9351,47.783,277.459,351.809,-3052.94,-1240.13,8.73134,-4.52304,-0.726154,1.6545e+09,112.709,32661.6,379.097
6231.01,42268.2,1.66776e+10,606203,235.248,-16.2589,48.2677,296.416,353.127,-3612.43,-1743.99,8.40491,-3.72229,-0.723951,9.09869e+08,196.664,51176.5,360.014
6677.49,36685.6,1.87065e+10,857505,255.01,-16.6764,48.0019,289.111,329.351,-2423.91,-600.063,8.72085,-4.34915,-0.537263,1.18664e+09,127.701,38443,424.184
6763.99,45054.6,1.87446e+10,758407,243.614,-18.0971,46.2834,283.732,356.17,-3611.46,-2153.07,9.0074,-4.43737,-0.289345,1.22901e+09,149.794,40425,465.083
6478.29,50704.2,2.00435e+10,756797,296.315,-15.8617,45.6198,278.15,360.175,-2456.93,-1357.1,8.70294,-4.14911,-0.234548,1.90957e+09,154.12,42809,497.278
6359.03,29497,1.0709e+10,748071,220.409,-15.9962,48.9211,313.157,352.236,-1672.9,-2686.83,8.83966,-4.2263,-0.259071,1.04559e+09,170.587,32201.8,421.452
7106.98,53052,2.05284e+10,689251,245.928,-16.6753,44.3672,285.94,350.553,-2220.39,-1519.58,9.00445,-4.2858,-0.478393,1.64744e+09,113.241,40646.7,428.14
6888.2,44771.6,1.67975e+10,679086,285.763,-16.2207,51.8036,303.428,351.22,-2622.92,-1407.41,8.67824,-5.34113,-0.603072,1.89703e+09,146.265,48545.7,373.324
6586.54,35597.6,1.41693e+10,744127,213.714,-17.2243,38.2364,280.825,360.809,-1709.95,-1498.6,8.5308,-4.34885,-0.248047,1.85007e+09,155.654,41026.8,498.591
5703.04,43356.1,1.28687e+10,769718,274.623,-16.6436,46.6405,224.955,331.993,-2263.12,-1504.42,8.7367,-5.9471,-0.204859,1.72346e+09,158.783,43345.8,442.089
5572.55,43372.9,1.90748e+10,862382,294.698,-15.1988,51.3649,310.466,352.567,-2735.13,-1495.98,8.68187,-4.25004,-0.73801,2.20581e+09,189.774,29656.7,335.128
6904.03,42506.8,1.3917e+10,732037,249.563,-16.6148,46.2025,282.984,354.913,-2301.51,-2185.59,8.9688,-4.75142,-0.734314,1.31603e+09,106.188,47513.1,439.945
6685.13,39909.7,2.11141e+10,730892,242.3,-16.7388,42.3514,249.483,359.299,-3727.71,-1969.76,8.15196,-4.81106,-0.448221,1.42747e+09,140.025,37389.7,421.153
6960.31,44841.1,2.1731e+10,466442,266.021,-15.5218,54.9657,297.429,336.468,-2482.98,-2380.37,8.98889,-4.7413,-0.278001,1.83501e+09,148.65,45124,383.562
6441.76,45067,1.36293e+10,990212,313.087,-15.6641,47.3032,313.206,349.311,-3809.86,-1860.73,8.49721,-4.02193,-0.28842,2.23727e+09,159.814,32722.3,392.189
