Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
4565.78,0.0907482,2.42887e+10,2.15082e+06,1.00002,-23.7038,33.8806,348.129,496.867,-12070,-7967.24,13.4291,-5.55009,-0.301703,6.46212e+09,36.0012,9.21225,446.617
5082.57,0.09075,2.6679e+10,2.15857e+06,1.00002,-23.5748,30.2769,330.305,497.268,-11094.3,-7615.41,13.5369,-5.42286,-1.52429,3.42531e+09,52.547,9.24075,504.293
5882.85,0.09075,3.27055e+10,2.0453e+06,1.00002,-23.9264,32.4125,317.639,515.552,-12958.5,-3034.4,13.5816,-6.28299,-1.64233,5.27542e+09,82.963,9.09625,728.639
4604.53,0.09075,2.85049e+10,1.27823e+06,1.00002,-23.5883,33.3872,390.679,494.543,-11927.6,-6627.54,13.9485,-5.17352,-0.735959,5.74515e+09,41.5406,9.24075,569.302
4044.46,0.09075,3.20628e+10,2.04512e+06,1.00002,-24.7911,41.0973,344.252,508.836,-12470.5,-7863.42,13.8975,-6.13777,-0.721723,5.11659e+09,72.8728,9.24075,416.52
4885.04,0.09075,2.88533e+10,2.08986e+06,1.00002,-24.5046,35.9332,351.771,493.473,-11558.8,-6190.79,13.8634,-6.50532,-0.745922,1.93925e+09,27.7596,9.26842,518.758
5346.23,0.0893891,2.49889e+10,2.10894e+06,1.00002,-23.4467,30.4634,351.062,520.484,-4203.02,-5938.48,13.6474,-6.32732,-0.794041,4.79095e+09,63.3192,9.24075,735.962
5487.91,0.09075,4.0456e+10,2.09163e+06,1.00002,-23.9114,38.6725,374.837,470.601,-9678.41,-7036.74,13.4754,-6.29224,-0.738076,3.20827e+09,42.2897,9.24075,471.52
4884.83,0.0906434,3.69144e+10,2.08136e+06,1.00002,-23.4969,33.3793,361.812,503.11,-11693,-8568.55,13.9784,-7.85123,-0.584018,5.42382e+09,70.8761,9.15756,478.19
4690.95,0.09075,3.05139e+10,1.82495e+06,1.00002,-25.3718,32.4873,353.665,515.701,-12907.4,-7968.72,13.8151,-7.03791,-1.49639,3.19923e+09,33.4282,9.15502,347.055
4467.36,0.09075,3.2008e+10,1.96842e+06,1.00002,-24.5862,33.8391,380.737,471.279,-10531.3,-8515.83,13.4107,-5.8703,-0.296014,4.51363e+09,52.0181,9.20718,391.797
4940.14,0.09075,2.88918e+10,2.12567e+06,1.00002,-24.3595,31.3583,402.413,504.549,-12944,-7218.41,13.8609,-5.31508,-0.74573,5.92258e+09,33.3194,9.24075,506.308
5721.84,0.0902687,2.88315e+10,1.67372e+06,1.00002,-23.607,32.2919,382.562,511.378,-10925.7,-6866.12,13.7333,-5.79686,-0.961449,5.79615e+09,36.9373,9.11728,425.459
5517.43,0.09075,3.33867e+10,1.9519e+06,1.00002,-25.5563,32.1615,302.777,508.522,-11379.1,-7732.13,13.9092,-6.05024,-1.45009,2.82484e+09,80.4561,9.24075,436.809
5543.54,0.0879112,3.56776e+10,2.02948e+06,1.00002,-24.0307,37.7071,358.758,473.655,-9633.05,-8199.33,13.3826,-5.83623,-0.702723,3.56767e+09,39.1976,9.20734,500.416
5082.17,0.09075,3.4222e+10,2.10072e+06,1.00002,-22.6433,35.6255,362.343,498.309,-10722.8,-9126.4,13.8071,-5.1492,-0.41697,3.33391e+09,40.5503,9.24075,541.537
5824.41,0.09075,2.43651e+10,1.92814e+06,1.00002,-24.3427,33.0805,360.028,511.452,-12318.1,-1998.02,13.7501,-5.33707,-0.727218,4.35208e+09,70.8167,9.14393,642.338
4627.99,0.09075,3.55791e+10,1.53737e+06,1.00002,-25.1772,50.3353,345.505,501.347,-11976.2,-3258.29,14.1107,-6.23265,-0.738856,3.85221e+09,38.7926,9.11022,486.575
5461.74,0.09075,3.18069e+10,1.83099e+06,1.00002,-23.2945,31.2383,347.023,503.957,-10545,-7800.84,13.7077,-5.9812,-0.296756,3.90389e+09,76.2538,9.13122,616.083
4869.05,0.09075,2.97114e+10,1.27926e+06,1.00002,-23.7495,30.3199,324.448,486.68,-12696.7,-6810.18,13.4984,-5.86578,-1.22777,2.41962e+09,73.3294,9.19277,545.074
4917.28,0.0903551,2.6507e+10,1.80426e+06,1.00002,-23.4471,32.2481,376.291,508.525,-12844.7,-6357.22,13.5348,-7.01727,-1.03208,4.77669e+09,62.5989,9.19547,662.048
4655.76,0.09075,3.48472e+10,2.09857e+06,1.00002,-24.5261,42.5493,334.598,512.118,-12433.5,-5778.27,13.5017,-6.48414,-1.29284,3.67649e+09,41.4296,9.13622,333.787
5796.91,0.0874224,3.04249e+10,1.87752e+06,1.00002,-23.6355,33.1781,293.754,515.305,-12738.1,-5765.55,13.5239,-6.43278,-0.646885,4.20435e+09,28.6173,9.24075,446.982
5287.84,0.0818336,3.11867e+10,1.67884e+06,1.00002,-23.2236,38.5108,358.868,457.087,-12180.6,-6983.45,14.0518,-4.98266,-0.737972,4.69479e+09,73.8846,9.39609,436.212
4734.59,0.0892962,3.28707e+10,1.88831e+06,1.00002,-23.6193,32.5596,365.726,497.977,-14093.9,-6185.69,13.1606,-6.37019,-1.58,5.57653e+09,50.5532,9.24075,530.985
5715.1,0.09075,3.16519e+10,1.79311e+06,1.00002,-25.0097,31.4992,341.656,511.127,-12383.7,-3035.1,13.2821,-5.87363,-0.747961,6.19749e+09,39.0803,9.24055,505.441
4694.56,0.0907165,3.6299e+10,1.85104e+06,1.00002,-23.6353,32.5469,391.293,499.9,-11940.3,-7158.53,13.9066,-5.20846,-0.721509,4.06568e+09,83.7442,9.07451,662.762
6188.79,0.09075,3.49166e+10,1.99576e+06,1.00002,-23.3074,32.591,352.26,498.97,-13524.3,-8750.47,13.752,-4.84421,-0.738082,5.13533e+09,39.6253,9.24075,400.605
4664.25,0.0882866,3.00498e+10,1.78284e+06,1.00002,-23.1792,33.5932,331.089,478.729,-10109.8,-7531.87,13.8127,-5.42501,-0.961931,3.87717e+09,38.291,9.19912,684.628
5834.16,0.0842829,3.61051e+10,2.04618e+06,1.00002,-22.5602,38.1454,332.235,493.2,-8233.24,-8058.87,13.0715,-6.96944,-0.744468,4.02367e+09,32.3053,9.15934,460.188
