Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
1775520.1,1608290.3,1593334.2,1592440.2,1771092.4,1601110.8,1361999.8,1457942.3,1604387.8,1727477.2,1549695.3,1131265.9,1756503.9,1620879.2,1669443.3,1559411.2,1315493.4,878595.57,1529424.5,1715932.4,1750553.8,1707929.8,1946040.8,1755533.4,1804974.6,1482313.7,1589845.6,1667989.7,1541836.4,1872532.1,1770682.7,1509801.2,1585736.4,1603144,1660974.6,1419463.2,1652303,1719287.8,1493724.3,1231760.9,1278931.6,1618913.7,1721710.9,1507100,1574571.3,1709116.6,1306753.5,1625366.9,1740539.7,1608693.7
1446752.5,1540457.3,1621534.6,1610496.1,1313903.2,1333462.7,1424381.9,1518792,1492146.4,1375076.5,1572524.4,1245949.8,1495210.4,1480264,1409955.8,1542322.3,1444552.1,908917.44,1606039.2,1565103.5,1644744.4,1469650.3,1661798.1,1537204.1,1522920.4,1545273.8,1568535.8,1505333.2,1428774.3,1626994.9,1395352.1,1636445.1,1416286.7,1522301.8,1481321,1421191,1386824.8,1760768.8,1367226.6,1351760.6,1567192.3,1412755.1,1632118.9,1485212.9,1423839.1,1578206.2,1462020.5,1483294.1,1536854,1621877.4
1647900,1534824.8,1356276.8,1314630.5,1482222.3,1368250.2,1368118.2,1190511.1,1399265.3,1570913.7,1457593.4,1101563.7,1506969.7,1635474.7,1346448.8,1337423.4,1430866.9,878291.12,1541906.5,1665843.1,1506024.8,1543348,1016397.4,1401843.9,1357952.5,1407735.1,1469851.2,1390193.9,1532311.3,1646957.7,1551265.4,1324078.9,1560702.5,1431602,1320696.4,1205428.3,1526103,1397243.6,1577828.2,1383676.8,1484787.5,1389567.4,1598823.7,1434451.7,1405056.7,1333495.2,1472012,1344343.3,1548888.2,1448423.5
1506840.2,1490490.9,1462769.2,1180366.2,1370464.7,1255523.7,1409848.4,1438494.4,1250321,1234543,1421298.7,1217301.3,1163467.5,1334731.7,1328546.9,1136752.3,1379712,782766,1403389,1509510.6,1414295.1,1274052.4,1503615.6,1500796.8,1322478.6,1159713.2,1524193.3,1215208.8,1555173,1385444.4,1487447.1,1433601.9,1279813.4,1366339.4,1466886.3,1268685.7,1220259.9,1369520.7,1488198.2,1320538.3,1415384.2,1496344.8,1483824.6,1309312.4,1214302.9,1359571.9,1422007.8,1279631.7,1360736.8,1428671.8
1160398.3,1225632.4,1199593.8,1308718.7,1147146.9,1257669.8,1046891.6,1190511.1,1196852.3,1358431.3,1317457.3,1101563.7,1074797.1,1347332.2,1228970.8,1229681.7,1100271.2,786551.34,1066052.8,1031919.2,1351611.6,844546.96,1047856.8,1224672.2,1270334.6,1274302.2,1469851.2,1278692.8,1290448.4,1372199.1,1295123.9,1452904.2,1224980.1,1132197.1,1475034.4,1227222.5,1364149,1386550.9,1244648.1,1221895.8,1158576.1,1203992.8,1455684.9,1082523.3,1127013.9,1087223.1,1395299.1,1098462.5,1314810.1,1080871.2
1171412.4,1241815,1287838.6,1162310.2,1109097.3,1096448.8,1236797.1,1184543.2,1250321,1193864.3,1244374.2,1009495.9,988884.24,1181066.7,1113778.7,1136752.3,935271.65,863235.31,1095132.5,1376891.1,1125215.8,921829.77,1138208.9,999357.84,1130274.9,1335674.5,1255093,1215208.8,1347547.1,1093293.1,1366325.4,1150554.6,1132319.1,1293891.5,1233654.1,1251095.6,1231298.2,1304367.3,1258583.9,1065479,1315128.4,1147246.4,1057999.8,1010290.1,1136152.5,1075559.2,1162330.9,1123580.2,1111604.2,1249634
1009887.8,1063522.6,1110810.7,1187043.9,1080107.2,1059119,780782.69,1071201.2,1073951.1,1117389.5,1154497.5,1105311.6,1005917.6,1178758.8,967288.99,1080255.5,980898.04,713631.46,793676.69,1137634.4,1191225,844546.96,1031253.2,1093640.4,1168060.9,1177493.6,1123306.3,1106196.3,1194239.1,1115520.6,1136109.3,1189652.1,1074942.9,1132197.1,1166761.8,1114468,1182188.7,1184278.8,1205623.9,946697.22,943943.94,1179711.1,1315318.5,820070.42,1073870.5,1031743.5,944995.48,1080824.4,1132003.6,1155675.6
977869.87,1049953,1012654.1,840529.51,939853.25,1023694.1,946560.19,1015631.9,1077511,1025998.4,1151329.5,964579.96,965569.4,1050867.2,800775.91,981172.67,838432.05,793078.76,938205.77,1117142,1049707.3,893933.27,910311.09,831142.99,982918.28,1066716.5,1189237.3,919540.35,1208767.8,1093293.1,1000898.5,1075115.6,1016941.5,1095126.3,1178458.3,1026588.9,1009565.1,921614.59,1201726.1,845330.93,1055046.1,1083930.5,1106799.6,837414.75,944037.14,775184.15,989312.29,1003913.1,990505.11,1100954.7
925654.27,832951.13,815136.63,962498.42,935699.11,852863.9,803788.49,1061128.5,975097.41,1002256.5,955324.61,953367.08,862197.64,1017898.5,794590.26,851668.83,810312.15,694039.72,819530.51,1032751.6,1047391.5,632316.68,717557.14,945405.51,1064020.9,932801.16,941818.36,834882.04,1034924.1,980818.86,879555.56,1065428.4,863458.68,1047433.5,950698.11,1082208.3,995696.37,975606.24,1033045.1,911488.68,866251.75,830923.85,1106572.3,772559.4,946478,854901.64,996384,973735.23,1047822.8,1067304
871982.65,819353.8,936914.38,905252.24,939853.25,873931.22,697623.92,938194.2,874164.97,948919.48,850138.09,852880.7,776129.29,898696.37,810790.13,743218.75,697716.11,680732.66,818034.97,944865.79,981583.62,597910.63,517881.63,831142.99,856190.39,992116.91,1017948.6,844215.32,886082.95,882424.31,978482,864898.61,813732.66,984290.73,905505.27,965212.8,994363.61,855684.25,1062267.8,713961.71,905164.93,946501.57,871595.66,776436,920552.68,756705.05,873079.49,810594,937587.71,909890.74
