Strat,F(x),Average,Std. Deviation,Range,Median,Min
rw,1,1409.284653,358.375724,1451.370790,1591.531200,699.119310
rw,10,-12407.266672,1249.221689,6005.291400,-12333.549500,-15402.188000
rw,11,-7882.019022,598.526000,3010.474000,-7846.736500,-9722.911700
rw,12,6.946521,0.466502,1.885526,6.965459,6.022934
rw,13,-24.842781,1.011068,5.231098,-25.195884,-26.286702
rw,14,-9.715474,1.867635,8.888868,-7.130600,-14.446877
rw,15,6859130.134000,5289334.142123,28712241.800000,4203369.700000,1543819.200000
rw,16,5.771988,1.962127,8.886648,5.315028,1.971973
rw,17,859.679765,353.307661,1470.880860,679.098070,335.084440
rw,18,35.976585,8.599594,36.352284,35.721819,17.434286
rw,2,857.807546,308.678080,1131.920140,512.861240,325.793660
rw,3,40871057.694000,34468711.682536,181464667.100000,34060619.500000,5899992.900000
rw,4,-19799.064388,14723.424698,73989.943000,-25740.278500,-41248.367000
rw,5,6.166095,2.486216,10.554290,5.164730,2.730550
rw,6,-38.566841,0.863623,4.021618,-38.565934,-40.597703
rw,7,31.309248,0.647397,3.640922,31.226281,30.018000
rw,8,-37.672130,11.877742,44.540614,-42.256097,-52.303887
rw,9,117.773244,13.508431,49.593823,120.221655,97.118497
