Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Exp_10,Exp_11,Exp_12,Exp_13,Exp_14,Exp_15,Exp_16,Exp_17,Exp_18,Exp_19,Exp_20,Exp_21,Exp_22,Exp_23,Exp_24,Exp_25,Exp_26,Exp_27,Exp_28,Exp_29,Exp_30,Exp_31,Exp_32,Exp_33,Exp_34,Exp_35,Exp_36,Exp_37,Exp_38,Exp_39,Exp_40,Exp_41,Exp_42,Exp_43,Exp_44,Exp_45,Exp_46,Exp_47,Exp_48,Exp_49,Exp_50
57.688016,58.67238,57.771425,58.183805,79.515153,57.002081,59.042571,59.030142,54.744084,54.217487,54.282448,54.621906,53.76765,52.966076,54.982149,53.319409,53.702385,54.831338,53.493763,54.344077,54.430954,53.718021,54.090044,54.109915,54.388187,54.28332,53.73321,54.947605,54.340773,54.773236,53.584965,54.136491,54.606981,55.538866,54.551881,54.153235,54.747322,54.491046,53.754477,53.841075,53.468823,54.047469,54.006324,55.019078,54.170488,53.668885,53.671832,49.0968,40.400444,39.836028
39.442304,36.781552,40.132376,39.283246,41.866368,39.586785,39.183388,42.8221,39.133426,38.880265,40.604899,39.363035,38.950729,38.670192,39.49072,39.726188,38.674004,39.2974,39.163096,39.467586,38.63845,39.304804,39.219221,40.215356,38.870746,38.726193,38.928232,39.465476,39.171254,39.634189,39.605657,39.797646,39.164334,38.823682,38.736712,39.115477,38.671647,39.158259,39.260889,39.518709,38.9313,39.11722,38.86925,38.817492,38.570687,38.698989,39.152166,41.602634,28.52382,30.603883
39.486159,41.463785,44.765954,39.617222,40.29024,39.670337,41.700982,47.313891,39.353861,39.376288,39.433776,40.011163,39.449812,39.679051,41.537013,40.399808,39.562027,39.586948,39.347283,39.682929,39.765816,39.482223,40.148163,40.31002,39.269266,38.883083,39.487389,40.258237,40.119424,39.664572,39.801385,40.636834,39.771998,39.345509,40.416003,39.729605,39.320883,39.953035,39.70465,40.020829,39.740937,39.627275,39.50711,39.579739,39.191846,39.708169,37.830772,40.271323,31.917244,27.751343
54.389977,53.431279,53.720387,52.301499,54.034785,57.710579,52.175378,53.391664,54.679287,53.745402,53.586971,52.868181,53.182567,53.50293,53.629948,55.181126,54.079009,53.453225,53.944314,50.823595,52.819732,52.566972,53.154309,53.415445,53.763877,53.024204,54.67996,52.197477,52.097427,51.97612,54.431987,54.234838,53.043516,54.055362,54.549224,54.55398,52.143969,54.263124,52.814472,51.945733,52.313529,54.805072,53.332775,53.794508,53.064298,51.070357,52.432296,55.353397,38.963642,35.622151
60.889921,59.762659,81.039566,59.121209,59.73786,58.693169,58.355251,61.702954,59.397786,58.66026,59.505926,59.372608,59.258808,58.316544,59.200018,59.741534,59.110663,59.097997,58.861266,58.918021,58.712006,59.273417,58.995429,58.998284,59.568217,57.979814,59.475167,59.858614,59.536384,59.36231,59.441097,58.888003,58.688444,58.732208,59.431245,59.517536,59.22348,58.797718,59.011664,59.569542,58.529803,58.171896,59.41258,58.75932,59.489782,58.00724,57.652294,59.105111,48.940835,42.598873
53.099155,53.250275,52.904821,53.34111,54.395448,58.917133,53.72963,52.05905,53.096563,51.894864,53.097488,53.864262,52.555941,52.717258,52.793552,53.012034,52.742096,53.041182,51.600203,51.947055,52.962325,53.312359,52.32743,55.210386,52.581955,52.700544,51.515534,50.90067,53.794995,51.880228,51.798285,52.913587,52.319129,51.956868,53.250696,51.514596,51.907765,53.987009,52.071657,52.940892,51.784558,51.860279,51.968274,52.785333,52.953148,52.482415,50.75242,49.65516,36.375359,36.518171
97.933619,99.715001,98.840487,99.204126,98.568497,103.35594,99.086488,97.582644,98.344677,99.514222,97.184613,98.522565,97.569916,97.393474,98.656463,100.17084,97.394183,98.810226,98.658937,97.476507,98.751182,98.263151,97.091299,97.806851,97.189471,98.647832,97.327642,98.039081,96.627521,97.626569,98.393871,100.41073,97.343958,98.082764,97.309796,98.69695,96.417333,98.009845,98.059723,98.98819,97.747116,96.304236,97.986301,96.503953,98.367446,99.322309,98.516692,95.524971,70.193919,70.700828
66.254101,66.774718,65.8709,68.113424,67.401538,72.979589,66.382739,66.07998,66.032727,66.884198,64.246823,67.401632,65.29237,66.85587,68.227397,65.77962,66.930378,67.254616,66.537298,66.091269,65.80164,66.125766,65.645401,67.056714,66.551385,66.164416,66.729822,66.334193,66.652611,66.227953,68.223342,66.303647,65.975441,66.960731,66.008917,65.76114,65.448925,67.339272,66.640993,69.710325,66.828916,66.923857,65.101877,66.305639,67.216704,66.338105,65.188722,62.992174,53.520542,53.313594
119.73761,110.45096,117.64454,126.99174,119.94679,121.12723,117.30132,118.00314,117.1627,118.48403,117.92073,117.48917,117.12965,119.64881,116.88339,116.65157,116.12673,117.21489,117.66487,118.20073,117.90486,118.53248,117.52038,117.26126,116.247,115.06759,117.80253,117.52859,118.12044,120.2493,117.11732,117.21543,116.57147,118.29156,117.94975,118.09203,115.9942,118.07961,118.1017,116.99683,118.16559,116.78612,117.21025,118.03499,117.7896,118.25102,115.93238,112.92607,86.113805,81.80422
66.93086,62.14591,62.099226,62.512856,62.286331,63.03967,61.526192,64.963941,60.659335,60.909268,61.093594,60.751276,60.846099,60.371032,60.892598,61.211563,61.339873,60.478078,61.071436,60.922369,60.640241,60.456093,61.789276,62.302574,60.714185,61.228789,60.50522,61.089292,60.996913,60.17197,63.422411,61.579896,60.435627,59.903173,61.045824,60.575057,60.757727,60.859645,67.951478,63.465239,59.807297,60.659495,60.715351,60.854102,61.129755,60.646015,59.460531,62.283559,49.189281,45.372392
94.110024,98.815502,93.071893,93.73299,94.867726,93.2768,93.963017,96.128967,93.578853,93.449297,93.789564,93.069308,94.064999,92.359765,94.447351,94.843408,92.273021,93.812454,92.61472,93.009042,93.757965,94.07738,93.441255,94.556393,92.54264,92.82232,91.680525,92.840019,92.967764,93.76312,93.44023,94.68303,93.071042,92.91832,93.138538,92.424792,93.637366,93.798234,94.115542,96.132525,93.039918,93.238954,93.067431,92.742218,92.896787,93.473898,94.335692,91.71109,76.458723,75.635376
57.574416,56.822559,56.915421,55.840564,62.581109,56.691611,61.455622,60.617488,56.579122,56.871212,56.843402,57.434037,56.61891,60.176776,58.432849,60.431318,55.078302,56.214201,57.200353,56.887286,55.833577,56.727488,59.121781,61.273131,57.165661,57.379407,55.732087,55.388387,56.683346,57.699082,56.127724,58.389447,56.49379,56.405372,56.105723,57.220362,56.171176,57.922826,58.826302,58.274197,55.582315,54.99478,57.076415,55.973113,54.913113,57.948985,53.682942,58.359502,43.311705,45.999164
