Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
2693.54,15274,4.08449e+09,123620,137.879,-8.33032,18.4613,102.131,159.777,-1661.17,-1200.71,3.97857,-2.82537,-0.696317,1.07625e+08,53.1217,21930,158.081
3095.62,16307.7,1.28081e+09,138395,139.451,-8.79194,18.2034,102.995,129.219,-1405.36,-1294.25,4.00614,-2.58062,-0.280226,1.54488e+08,46.7886,14015.8,164.823
3279.93,18168.7,9.89017e+09,110968,76.4153,-7.53939,21.0581,115.889,160.256,-1217.89,-1137.36,4.01754,-2.96675,-0.0579338,3.2652e+08,43.6835,17469.5,123.806
2591.36,20484,6.58946e+09,122469,78.3867,-7.50909,18.4082,96.9895,155.983,-1445.47,-442.438,4.0041,-3.20992,-0.715263,3.06814e+08,25.5717,12253,172.713
3165.56,14438.2,1.6664e+09,118508,62.0109,-7.34904,16.0981,122.437,152.992,-1380.03,-1034.69,4.11019,-2.97051,-0.679778,4.69222e+08,29.8221,18644,117.023
3006.67,8137.89,4.97285e+09,131457,64.4515,-8.37799,19.6,119.199,148.82,-1792.19,-1710.37,3.61533,-2.28181,-0.287016,1.79442e+08,21.9375,7418.76,172.877
2588.43,12942.3,3.13377e+09,159062,122.496,-8.29673,19.8458,119.845,154.159,-1342.64,-1294.85,4.10818,-2.42227,-0.0618222,1.44518e+08,67.7986,16870.1,168.56
3367.07,15445.8,5.89407e+09,131039,89.4016,-8.49034,18.2441,130.309,162.47,-1749.36,-1280.18,4.30059,-4.08285,-0.597435,8.91391e+07,39.3716,17678.6,148.7
2391.64,18465.9,5.34455e+09,103961,119.418,-8.45788,20.909,135.304,155.366,-1260.91,-1069.4,3.95893,-2.86506,-0.00641628,2.3063e+08,53.2154,18514.1,140.535
2997.09,17721.6,7.15227e+09,192067,92.561,-7.59113,22.2683,80.1353,169.34,-1622.92,-1005.34,3.9149,-2.84014,-0.149869,6.95045e+07,91.2822,17473,179.893
2773.82,16286.4,4.95496e+09,189861,97.4107,-7.95153,22.1899,103.776,157.058,-1381.9,-2105.81,4.04351,-2.73432,-0.533288,1.46904e+08,46.5158,12683.8,172.516
3209.31,16744.9,7.23605e+09,122922,107.551,-7.69742,24.8077,82.0555,159.244,-1273.98,-1584.12,4.02914,-2.81388,-0.117998,5.54171e+08,60.2704,16547.1,174.631
3218.79,16124.9,7.23891e+09,115641,136.799,-8.34665,16.2939,107.208,169.675,-1683.03,-1348.51,4.05254,-2.45212,-0.056157,1.19144e+08,57.8639,18482,166.946
3199.12,17729.4,5.79658e+09,85921.7,112.664,-7.56242,21.2604,99.9995,157.208,-1883.97,-1029.84,4.02495,-2.39834,-0.0238315,2.61475e+08,36.8537,15844,160.963
2762.66,18474.8,3.29879e+09,183258,74.4138,-8.65773,23.2402,122.522,150.03,-1538.3,-1850.21,4.08454,-3.08264,-0.218322,4.65032e+08,66.8267,21717.5,171.219
3127.84,6691.4,6.53542e+09,201079,132.162,-7.82373,22.8048,84.3473,152.927,-1476.9,-1104.28,4.03368,-2.65516,-0.708843,1.797e+08,81.477,5947.07,185.261
3094.6,14263.1,3.23542e+09,137868,141.102,-8.664,22.4778,108.707,160.337,-2278.94,-1009.5,4.03448,-3.85804,-0.406387,1.58748e+08,80.2157,11622.5,169.319
3130.07,15000.3,4.063e+09,122392,116.978,-8.35898,16.9795,108.753,153.678,-1539.21,-1285.25,4.41298,-3.20753,-0.295106,2.57445e+08,55.5801,17922.5,163.182
2913.85,8759.72,2.5916e+09,165527,131.771,-7.81579,19.7849,99.0594,165.326,-1850.18,-922.699,3.82706,-3.89478,-0.269936,2.9805e+08,71.4766,9354.36,169.886
2850.24,12628.5,5.16971e+09,160647,74.8826,-8.14771,15.627,142.184,165.319,-1444.15,-1615.52,3.99554,-2.3596,-0.734287,1.80836e+08,53.5262,13024.7,194.811
2880.47,14737.4,3.01492e+09,122304,104.677,-7.59902,20.4489,130.504,158.768,-1716.23,-748.16,4.17951,-2.95414,-0.874284,3.81279e+08,98.158,16348,181.7
2999.43,10945.6,3.9845e+09,143908,99.101,-8.05697,19.0102,143.527,163.631,-2439.65,-2142.79,4.04268,-2.38955,-0.137767,7.15048e+07,40.2185,6747.38,197.093
3240.99,20879.8,2.7878e+09,108471,95.1108,-7.51824,18.4201,132.682,131.138,-1435.61,-1368.4,3.68071,-2.65839,-0.737977,3.27004e+08,37.7899,18647.3,130.485
3066.99,14199.8,1.68264e+09,178366,101.926,-7.92059,22.1637,132.202,151.411,-2093.93,-1047.94,4.12292,-2.49284,-0.351809,2.58018e+08,68.9613,14075.2,127.626
2613.28,16799.4,2.02627e+09,81001.9,144.508,-8.00489,17.7689,112.97,145.688,-1046.84,-1198.08,4.24092,-2.87701,-0.611627,2.68756e+08,58.3796,9641.29,183.272
3006.11,15538.9,4.41785e+09,186725,78.2191,-7.84001,22.1292,122.377,148.602,-1984.14,-1109.57,4.02398,-2.71542,-0.185323,4.82136e+08,31.458,17069.9,134.469
3118.67,23334.2,3.53907e+09,140806,122.892,-7.66866,20.5483,111.238,168.371,-1396.78,-752.964,3.99074,-2.88615,-0.526795,2.05866e+08,43.6061,17024.3,121.29
2386.5,15188.8,4.76589e+09,109465,81.5921,-7.66619,18.9062,113.846,154.479,-1353.89,-1024.67,4.07357,-2.48507,-0.289604,3.4055e+08,24.79,18684.5,201.058
3347.77,15503.7,5.7476e+09,150006,114.089,-7.92986,20.2972,93.0706,160.453,-2754.54,-1868.43,3.99868,-2.30692,-0.29301,2.35321e+08,32.9022,19391.5,187.423
2836.14,22755.1,6.78295e+09,141166,107.774,-7.95483,15.1477,138.336,150.62,-2227.13,-1189.49,3.9042,-2.16814,-0.693646,2.73524e+08,46.7857,17832.8,105.979
