Schwefel’s function,1st De Jong’s function,Rosenbrock,Rastrigin,Griewangk,Sine Envelope Sine Wave,Stretched V Sine Wave,Ackley’s One,Ackley’s Two,Egg Holder,Rana,Pathological,Michalewicz,Masters Cosine Wave,Quartic,Levy,Step,Alpine
2874.82,0.058524,2.12958e+10,773654,1.00002,-16.0966,19.5725,242.524,334.929,-7276.13,-3066.71,8.09819,-4.81581,-1.36286,1.43843e+09,30.2301,6.1605,269.536
4205,0.0585292,2.17693e+10,615707,1.00002,-17.6265,21.0024,204.452,327.052,-6759.93,-5397.89,9.0803,-5.17741,-0.72634,2.64139e+09,21.1938,6.10419,401.517
3570,0.0551981,1.71627e+10,857546,1.00002,-15.2164,20.661,187.841,336.456,-8290.3,-5012.28,8.84036,-5.22358,-0.960948,1.74159e+09,39.4145,6.03542,262.697
3691.76,0.0604177,1.33493e+10,895778,1.00001,-17.049,19.814,191.948,310.048,-8592.28,-4320.83,8.7938,-4.78505,-0.296575,1.43169e+09,29.3186,6.14304,421.299
2783.49,0.0605,1.79483e+10,559680,1.00002,-16.8353,23.7039,208.402,318.582,-8484.31,-6160.83,8.00794,-4.87899,-0.722884,1.69371e+09,35.0038,6.09796,380.879
4422.87,0.0591523,1.40666e+10,827389,1.00001,-15.6634,23.7006,218.735,312.668,-6219.3,-5385.69,8.82075,-4.71224,-0.584542,2.12213e+09,31.8497,6.10849,379.746
2625.45,0.0585612,1.83341e+10,565741,1.00002,-16.0474,24.1039,216.789,319.165,-7391.08,-5313.17,8.67339,-5.02769,-0.675148,1.96809e+09,33.3254,6.10786,373.167
3036.54,0.0605,1.24833e+10,745132,1.00001,-16.1671,31.5505,213.192,318.858,-7836.86,-5233.05,8.7735,-5.27185,-0.649,1.7769e+09,28.7992,6.1605,272.893
3131.46,0.0605,7.25176e+09,632420,1.00002,-16.8245,21.4119,233.165,329.541,-6520.96,-4001.06,8.77386,-4.18227,-0.581987,1.23673e+09,24.846,6.1605,234.912
3968.01,0.060491,8.81041e+09,711725,1.00001,-15.7335,19.7346,243.751,304.109,-8360.29,-4655.81,8.97408,-4.26357,-0.296754,2.18123e+09,26.5716,6.06433,429.806
3230.22,0.0605,1.81971e+10,819674,1.00002,-16.2021,19.5381,210.2,287.869,-8569.61,-5320.28,8.81972,-5.19612,-0.730041,1.69625e+09,19.716,6.1605,367.304
2594.76,0.0605,2.2111e+10,775168,1.00001,-16.5839,22.7985,166.427,329.867,-7252.67,-5224.35,8.46954,-5.0885,-0.30011,1.55573e+09,28.2586,6.03784,364.638
